"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
1.17217022850614,12.2392540699344,4.78527732824352,0.000202215380028424,0.631398236716795,"CUL4A",4,4.7958183631073,0.000146849707577452,0.00374045577910318,0.00267416889975191
1.21741186714638,11.9350338584133,4.38028719677514,0.00046575177053627,-0.195728856625424,"GCN1",9,4.781460274535,0.000151511915194079,0.0059075587956396,0.00273062482604159
-1.24431893788214,11.6125277969976,-4.50746054476407,0.000357826832958811,0.0652908638601453,"CPSF6",5,-4.7675342869508,0.000156177823064254,0.00516594011046198,0.00276578744850617
1.12409913032,12.271333077715,4.64097753020592,0.000271737450830924,0.338130819214096,"DLST",5,4.76379776688573,0.000157454457849127,0.00442018676224378,0.00276578744850617
0.950662315854686,13.5890269644119,4.52104416072358,0.000347920960006063,0.0931083026282327,"SARS1",14,4.76160313555055,0.000158209231408386,0.00507449797376464,0.00276578744850617
1.42281087817162,12.0586721125171,4.72728382156876,0.000227657655109552,0.513750015510555,"RDH11",3,4.72648479833826,0.000170800665306446,0.00406229817676359,0.00294082438873052
-1.13355698210603,10.0236268477797,-5.19225518053664,8.89439108078881e-05,1.44774270906803,"DCTD",2,-4.70914014633843,0.000177391045429469,0.00243312631796613,0.0030107968235754
1.15504765907027,12.3483867567781,4.56763260891698,0.000316023042623855,0.188415717692666,"UFL1",5,4.68482761406565,0.000187066943149611,0.0048563699918562,0.00312414407909423
1.50869429731765,10.8776533065998,4.34411008609547,0.000502141710308286,-0.27015837190732,"SRP68",6,4.68341970108883,0.000187643434249075,0.00622698475913876,0.00312414407909423
0.777194637600797,12.459370194596,4.21121181631934,0.000662539765270967,-0.544140842944802,"OSBP",11,4.67373607951848,0.00019165778280564,0.00721923018042899,0.00316087684556593
-0.664508965734353,12.3230267091503,-3.98137993413605,0.00107289958728585,-1.01943119330797,"SSRP1",14,-4.66189790838952,0.000196684137895434,0.009385223387173,0.00319726236106241
-0.595836826254486,14.702163299089,-5.22082950309607,8.40204384591302e-05,1.50439044561736,"CTBS",9,-4.65995494877597,0.000197521806930637,0.00239991798766351,0.00319726236106241
-1.38161020030898,12.6185784676302,-5.0138571803907,0.000127195451611161,1.09201485205238,"MSRB3",2,-4.63726195352685,0.000207578178748275,0.00281555148468451,0.00332921758542532
0.652260511594205,13.0666018206774,4.60056050508604,0.000295293890062145,0.25568090014171,"TUFM",8,4.62409759112971,0.00021364884405274,0.00464042322151795,0.00339543048042162
0.888190572902383,12.1600640541904,4.15163375258429,0.000750501514596153,-0.66720673354855,"ACACA",10,4.60751703466499,0.000221552263998982,0.00726549526267687,0.0034893151354841
-0.794903446899415,17.0615264154467,-4.79091984455043,0.000199900836019769,0.642828841747127,"DKK1",10,-4.59968322978837,0.000225389048851198,0.00374045577910318,0.00351804806653171
0.670270541270925,13.0291093324829,4.17473739321335,0.000715064444443745,-0.619468316134788,"PAPSS2",15,4.58734646247128,0.000231568551617785,0.00725585690138576,0.00357747484984289
-1.00309857812597,14.6961891752503,-4.5271403438774,0.000343566756295773,0.105588285453134,"CFD",10,-4.58232889650082,0.000234130811774372,0.00507449797376464,0.00357747484984289
