"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
1.0255933968706,9.57685825405498,3.22543256534177,0.00528634691932712,-2.55623747921971,"POF1B",2,3.13128376525578,0.00579959284608139,0.0239092820102795,0.0236945646352391
0.811258854546464,9.9104042088265,3.12909927892849,0.00647174088486194,-2.75120468493507,"BIRC6",3,3.12690700960434,0.00585535726554304,0.026758887310063,0.0237724085342726
1.07238980287454,14.4037117155931,3.02331299845796,0.00807553044248544,-2.96374971396456,"ITIH3",8,3.12619896651542,0.00586442755071038,0.0306128548123581,0.0237724085342726
-1.07392187642898,10.4603174828059,-3.1520458412522,0.00616758824421218,-2.70487739773178,"ADPRS",2,-3.12597200713661,0.00586733788485869,0.0262080381299205,0.0237724085342726
-0.640962656585643,15.8909596407248,-3.04309858510172,0.00774851964708605,-2.92413272945488,"EIF4A1",18,-3.12292889884927,0.00590649663604215,0.0300092510859138,0.0238815194277208
2.22831637085291,10.1933855714564,3.03648411849453,0.00785637172887521,-2.93738427595986,"DKC1",1,3.11072318533309,0.00606614032086,0.0302483197340913,0.0244258585634763
-1.26448607472717,11.5502717485438,-3.08922416862567,0.00703574482636293,-2.83152670091696,"A4GALT",2,-3.10851466060537,0.00609547316720154,0.028249718915407,0.0244762374228319
0.592998688864078,9.71444458150817,3.32036424066155,0.00432862657595475,-2.36299469093384,"TBL1XR1",3,3.10737701323956,0.00611063697100075,0.0211508155640625,0.0244762374228319
1.33918448691468,12.9422040478673,3.01442624003074,0.00822677026433995,-2.98152222694964,"C1QBP",4,3.10695646773197,0.00611625177436939,0.0308704799564597,0.0244762374228319
0.673953713602664,20.5927733901534,2.8608017070356,0.0113233741921198,-3.28644503406681,"THBS1",61,3.10488495774391,0.00614398255843082,0.0375823315926637,0.0245206712069659
0.719203042929941,11.5543453720876,3.01379399470752,0.00823763517377408,-2.98278612908286,"SNRPC",4,3.10425296872445,0.00615246723472514,0.0308704799564597,0.0245206712069659
1.02802181176862,9.70233533821934,3.51239392901594,0.00288631179302159,-1.96947842032079,"POLR2H",1,3.10165268069063,0.0061874974729163,0.0164597896099573,0.0246100596839395
1.291557933791,11.7525310561468,2.99786763233755,0.00851600208826807,-3.01460108792321,"CILP2",3,3.09582409138899,0.00626672674641923,0.0314937414606002,0.0248745240634015
-0.758789431015325,12.199459839101,-2.87620150397553,0.0109677981110665,-3.25608917581903,"CARM1",8,-3.09182239139333,0.0063216947472446,0.0368232369522334,0.0250418106090568
0.945593569936534,11.9457077879426,2.98670469174349,0.0087165739104696,-3.036873838044,"DENR",4,3.08062508398344,0.00647801305133225,0.0320547331624356,0.0255573455093059
