PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
P21266	GSTM3	Homo sapiens	Glutathione S-transferase Mu 3	GSTM3_HUMAN	3	3	3	False	11,537607663039584	11,58733379678091	10,854722790185646	11,825456209850293	12,21855348099533	11,912013725974147	11,38804974709031	11,436632506375036	11,584658747384989	11,876306160939842	12,081025007295208	11,507710211255983	2972,802001953125	3077,053466796875	1851,8131103515625	3629,251220703125	4765,9677734375	3853,660400390625	2680,060302734375	2771,84814453125	3071,353271484375	3759,45068359375	4332,623046875	2911,82958984375
P21281	ATP6V1B2	Homo sapiens	V-type proton ATPase subunit B, brain isoform	VATB2_HUMAN	12	12	14	False	14,793772662815277	14,284779913172482	14,644525693570786	14,56431640119298	14,8781461700612	14,987614975295436	14,021461915658865	14,228504739845363	15,256959589547359	14,348966909699742	14,365950066672875	14,431368927102929	28403,333984375	19959,388671875	25611,8828125	24226,802734375	30113,98828125	32487,90234375	16629,5546875	19195,822265625	39156,375	20867,453125	21114,552734375	22094,029296875
P21291	CSRP1	Homo sapiens	Cysteine and glycine-rich protein 1	CSRP1_HUMAN	8	8	11	True	16,39480179125499	15,968658268872248	16,558087723729763	15,454309586554833	16,506918056192326	15,448877148045908	16,711926442412313	15,176050764808194	16,632044465364217	15,812674696893586	15,328626859114813	15,92339060078585	86164,25	64127,62109375	96489,7265625	44896,3203125	93127,3984375	44727,58203125	107347,3046875	37020,859375	101565,046875	57555,83984375	41150,62890625	62146,71875
P21333;P21333-2	FLNA	Homo sapiens	Filamin-A;Isoform 2 of Filamin-A	FLNA_HUMAN	125	135	168	False	20,78753774195776	20,52014038226989	20,70464066195831	20,48866601922835	20,662075715110028	20,55311387730018	20,33338686890948	20,358855061246302	20,782574562630735	20,459212089534066	20,62777420705727	20,72663030652408	1809974,25	1503757,375	1708904,875	1471306,125	1659222,25	1538522,25	1321172	1344702	1803758,25	1441572,625	1620237,875	1735151,625
P21399	ACO1	Homo sapiens	Cytoplasmic aconitate hydratase	ACOC_HUMAN	13	14	14	False	13,521203957516084	13,61576320068907	13,634602804173719	12,9089119700094	14,176798151764409	13,187039541859527	13,70520818406617	13,267648965715148	14,467972275419449	13,52562690145475	13,74791811194362	13,746029167611876	11756,7685546875	12553,162109375	12718,1640625	7690,76806640625	18520,021484375	9325,9794921875	13356,072265625	9861,8935546875	22661,759765625	11792,8671875	13757,3798828125	13739,37890625
P21583;P21583-2;P21583-3	KITLG	Homo sapiens	Kit ligand;Isoform 2 of Kit ligand;Isoform 3 of Kit ligand	SCF_HUMAN	1	1	1	False	13,499177291678613	13,742862129228325	13,652234583648156	14,162702023828166	12,398538737248439	14,01993205001318	14,383374707235399	13,943346583070849	12,682136916193445	13,96831452972358	13,424076564656813	13,287340386779967	11578,6328125	13709,2509765625	12874,5517578125	18339,94921875	5399,23291015625	16611,9296875	21371,1171875	15753,0830078125	6572,091796875	16028,0859375	10991,31640625	9997,421875
P21589	NT5E	Homo sapiens	5'-nucleotidase	5NTD_HUMAN	14	15	17	True	13,090473319715892	13,343980771649484	12,953750551263584	14,290574499927331	13,855136612628018	13,618816975023135	13,8480305001083	14,217877107806531	14,2268872299962	14,658194917832663	14,879906549532292	14,603839336628829	8722,181640625	10397,728515625	7933,54833984375	20039,716796875	14818,7548828125	12579,76171875	14745,943359375	19054,935546875	19174,3125	25855,703125	30150,755859375	24899,67578125
P21741	MDK	Homo sapiens	Midkine	MK_HUMAN	6	6	6	False	12,924728703863977	13,110375297867996	13,003855167104822	13,01163965619987	12,723688230303008	12,793235167118421	13,72212251859138	12,997826652879185	12,698962875095246	13,141896644776505	12,32864342981932	12,826546450772451	7775,54833984375	8843,337890625	8213,919921875	8258,3603515625	6764,1279296875	7098,1884765625	13513,58203125	8179,66845703125	6649,18994140625	9038,681640625	5143,8876953125	7263,98974609375
P21781	FGF7	Homo sapiens	Fibroblast growth factor 7	FGF7_HUMAN	4	4	4	False	11,337297953447077	11,044516023849466	10,30951659911743	10,980655697534882	12,397891588620757	10,49459987857368	12,36335196812805	10,87931569428911	12,338531563392186	10,772769931777672	11,43282438820756	11,094102821039932	2587,4189453125	2112,178466796875	1269,035400390625	2020,7227783203125	5396,8115234375	1442,7442626953125	5269,140625	1883,650634765625	5179,2646484375	1749,5521240234375	2764,541259765625	2186,0380859375
P21796	VDAC1	Homo sapiens	Voltage-dependent anion-selective channel protein 1	VDAC1_HUMAN	7	7	7	True	12,476808984327235	12,9979772705838	12,576545355535707	12,186300919428557	11,59465172633969	11,380359728784503	12,066852242500985	11,825547143257355	10,978077091226147	12,560394529789962	12,612366057053029	11,505443056151504	5700,248046875	8180,5224609375	6108,25830078125	4660,60302734375	3092,701171875	2665,812744140625	4290,2685546875	3629,47998046875	2017,1142578125	6040,25830078125	6261,81884765625	2907,25732421875
P21810	BGN	Homo sapiens	Biglycan	PGS1_HUMAN	14	18	21	False	17,558512035446817	18,570388822551198	17,66336482603226	18,555982891380815	16,215568991548153	17,765755008973766	17,688089773054603	18,398487461407402	14,489037723858576	17,888018934516698	17,088454577166377	15,752677808348063	193036,21875	389263,84375	207588,1875	385396,21875	76097,8984375	222856,421875	211176,5	345538,625	22995,08203125	242566,1875	139359,765625	55211,37109375
