PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
Q9Y3Q3	TMED3	Homo sapiens	Transmembrane emp24 domain-containing protein 3	TMED3_HUMAN	4	4	5	False	14,313659182114456	15,024834294779328	14,676415212787202	14,816429511546318	15,366647181076432	14,312824942963719	14,14504074959905	14,174312975203469	14,773706673229176	14,228620552876746	14,688798281449488	14,74603737105618	20362,953125	33336,9453125	26184,314453125	28852,916015625	42249,515625	20351,181640625	18116,802734375	18488,146484375	28011,015625	19197,36328125	26410,029296875	27478,9140625
Q9Y3Q8	TSC22D4	Homo sapiens	TSC22 domain family protein 4	T22D4_HUMAN	6	6	6	False	15,322495113435362	15,51629096156603	15,3674150178785	15,226929552455344	15,579785833653593	15,457215781938515	15,432882229589673	15,542569043547438	15,597484631743031	15,562509243823293	15,46482852100822	15,246694794610406	40976,1015625	46867,19921875	42272,0078125	38349,75	48975,94921875	44986,8515625	44234,43359375	47728,6875	49580,48046875	48392,94921875	45224,86328125	38878,765625
Q9Y3S2	ZNF330	Homo sapiens	Zinc finger protein 330	ZN330_HUMAN	11	11	11	False	13,955345007745779	14,18626811993452	14,54573856784708	14,101900193160093	14,36195541623416	14,10329741439283	13,786245594284916	14,04684057652473	14,004372904222073	14,18993221129105	14,27338072741656	14,248480648425634	15884,642578125	18641,98828125	23916,830078125	17583,080078125	21056,169921875	17600,1171875	14127,7646484375	16924,67578125	16433,736328125	18689,39453125	19802,3046875	19463,4609375
Q9Y3T6;Q9Y3T6-3	R3HCC1	Homo sapiens	R3H and coiled-coil domain-containing protein 1;Isoform 2 of R3H and coiled-coil domain-containing protein 1	R3HC1_HUMAN	5	5	5	False	12,926439608877459	13,159437461542565	12,641358436737468	12,658802246490485	12,542753345630741	12,881086133869156	12,770975051284756	13,093948618327065	12,685476843936229	12,841327947160273	12,610301708388977	12,696379240561415	7784,77490234375	9149,248046875	6388,92919921875	6466,6474609375	5966,84814453125	7543,8544921875	6989,50732421875	8743,2177734375	6587,32421875	7338,79736328125	6252,865234375	6637,29296875
Q9Y3T9	NOC2L	Homo sapiens	Nucleolar complex protein 2 homolog	NOC2L_HUMAN	14	14	14	False	15,031932352563988	14,382950749913727	14,767377971033106	14,916510120301478	14,468424429224541	14,402716481892972	15,054560434630233	15,222837640283629	12,760659855575065	14,454433221558842	14,841434298617065	15,162292974139026	33501,3671875	21364,837890625	27888,408203125	30925,517578125	22668,86328125	21659,5625	34030,96484375	38241,1328125	6939,7109375	22450,083984375	29357,353515625	36669,5
Q9Y3U8	RPL36	Homo sapiens	60S ribosomal protein L36	RL36_HUMAN	8	10	12	False	18,777285619882647	19,971107773178776	19,523079486488534	18,95952824862799	20,064781077672553	19,26756267497417	18,508001216260414	18,5227852827528	19,6900605467619	18,915435935857303	20,070087196446472	19,39201771597593	449289,4375	1027785,5	753412	509784,59375	1096733,125	631123,4375	372789,375	376629,1875	845860,6875	494440	1100774,25	687985,0625
Q9Y3V2;Q9Y3V2-2;Q9Y3V2-3;Q9Y3V2-4	RWDD3	Homo sapiens	RWD domain-containing protein 3;Isoform 2 of RWD domain-containing protein 3;Isoform 3 of RWD domain-containing protein 3;Isoform 4 of RWD domain-containing protein 3	RWDD3_HUMAN	1	1	1	False	10,967899138559819	9,617135496865403	11,178209384490387	10,94655865128557	10,311525215554676	10,901643712799943	11,69745652057127	11,203024724567843	10,984231905494747	NaN	10,921966387467478	10,529191033877794	2002,9339599609375	785,3192749023438	2317,268310546875	1973,5244140625	1270,803466796875	1913,0299072265625	3321,12548828125	2357,4716796875	2025,738037109375	NaN	1940,168701171875	1477,754638671875
Q9Y3X0	CCDC9	Homo sapiens	Coiled-coil domain-containing protein 9	CCDC9_HUMAN	14	14	15	False	13,201530787537267	13,019898803540956	13,161165105143837	13,26060488351436	13,16447686520662	12,984184959111655	13,105272645676186	13,195200818308061	12,995664689375296	13,323664487060691	12,998096014109196	13,37952683675371	9420,126953125	8305,7734375	9160,2109375	9813,859375	9181,2626953125	8102,6884765625	8812,115234375	9378,8857421875	8167,419921875	10252,33203125	8181,19580078125	10657,0966796875
Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4	CHTOP	Homo sapiens	Chromatin target of PRMT1 protein;Isoform 2 of Chromatin target of PRMT1 protein;Isoform 3 of Chromatin target of PRMT1 protein	CHTOP_HUMAN	3	3	3	False	16,117963900206494	16,112128138288433	16,467766975433207	16,44650595863995	16,007376193371833	16,21091089326215	16,094822698978923	16,15267121170341	15,974978522491803	16,337880328100006	16,49496871532041	16,297221077757076	71119,8125	70832,7109375	90634,140625	89308,2578125	65871,9296875	75852,59375	69988,1328125	72851,5078125	64409,171875	82830,8359375	92359,2421875	80529,015625
Q9Y3Z3	SAMHD1	Homo sapiens	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	SAMH1_HUMAN	50	55	72	True	21,133569957282166	21,60547951806167	20,97548293468066	20,97323735714656	21,38885369787961	21,078491909711797	20,297761932033538	20,20146752192486	20,381816727774453	20,18592315106191	20,41348860928933	20,06324430988263	2300586	3190784	2061814,25	2058607,5	2745911,5	2214411,5	1288947,375	1205723,375	1366275,25	1192802	1396601,125	1095565,5
