PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
Q15424;Q15424-2;Q15424-3;Q15424-4	SAFB	Homo sapiens	Scaffold attachment factor B1;Isoform 2 of Scaffold attachment factor B1;Isoform 3 of Scaffold attachment factor B1;Isoform 4 of Scaffold attachment factor B1	SAFB1_HUMAN	5	5	5	True	13,096398764701178	12,434553149788476	12,575457652170853	12,7805119339771	12,90967860510489	12,831220442623046	12,167902597337978	12,460974009816013	12,85556447833444	12,164793861929292	12,180103557261566	12,377968267439963	8758,0791015625	5535,7119140625	6103,65478515625	7035,8642578125	7694,85595703125	7287,5615234375	4601,544921875	5638,0244140625	7411,5751953125	4591,64013671875	4640,62548828125	5322,794921875
Q15427	SF3B4	Homo sapiens	Splicing factor 3B subunit 4	SF3B4_HUMAN	3	3	4	True	12,806805750650648	12,615214837179327	12,13640244598466	13,531773371544908	13,321639685552345	12,981246467801695	12,51795719034047	7,038313190230117	12,43632915690955	11,938565327592269	11,827154563202448	12,207819404990236	7165,27197265625	6274,19580078125	4502,16259765625	11843,216796875	10237,953125	8086,20166015625	5865,169921875	131,44479370117188	5542,53076171875	3925,240478515625	3633,526123046875	4730,63916015625
Q15428	SF3A2	Homo sapiens	Splicing factor 3A subunit 2	SF3A2_HUMAN	6	6	6	False	13,275491974124195	13,018211726979104	12,96247869784511	12,923122341406026	13,202263299981837	12,891386380898327	13,057917543089214	12,647035216729249	13,066379775934447	12,77307369222494	13,083099625905595	12,889081311213575	9915,65234375	8296,06640625	7981,69091796875	7766,8955078125	9424,9111328125	7597,9072265625	8527,5615234375	6414,1181640625	8577,7275390625	6999,68212890625	8677,7158203125	7585,77734375
Q15435	PPP1R7	Homo sapiens	Protein phosphatase 1 regulatory subunit 7	PP1R7_HUMAN	14	14	14	True	13,29369980230363	13,296396181998867	12,997928960957523	13,341012188328271	13,495959542817982	12,93409972011542	12,870982760446534	12,467798686303084	11,254276951180058	12,860390060790346	12,825871234929066	12,913725069671658	10041,587890625	10060,373046875	8180,24853515625	10376,35546875	11552,8369140625	7826,21875	7491,20849609375	5664,75830078125	2442,72705078125	7436,4072265625	7260,5908203125	7716,46875
Q15436	SEC23A	Homo sapiens	Protein transport protein Sec23A	SC23A_HUMAN	15	15	16	True	14,997496427310171	15,651347039864362	15,140734615072509	15,221215678502137	14,952734849625946	14,909802462871943	15,17071712712208	14,547236045048011	14,23831114128023	14,98008404081806	15,165302046748419	14,452999534442359	32711,185546875	51466,53515625	36125,6171875	38198,1640625	31711,859375	30782,06640625	36884,24609375	23941,66796875	19326,74609375	32318,755859375	36746,0625	22427,78515625
Q15459;Q15459-2	SF3A1	Homo sapiens	Splicing factor 3A subunit 1;Isoform 2 of Splicing factor 3A subunit 1	SF3A1_HUMAN	4	4	4	True	13,205867658153123	12,835707631582702	12,577428021247801	13,111695261037742	12,893544935040676	12,900540340778168	11,82807022337636	12,139159266501355	12,143747066969915	11,992029155021262	11,509650103184876	12,47236832689138	9448,4873046875	7310,26318359375	6111,99658203125	8851,4326171875	7609,28369140625	7646,26953125	3635,8330078125	4510,77392578125	4525,14111328125	4073,43212890625	2915,74755859375	5682,7294921875
Q15493;Q15493-2	RGN	Homo sapiens	Regucalcin;Isoform 2 of Regucalcin	RGN_HUMAN	3	3	3	True	10,748887498636773	11,176201003784923	11,519242950362617	11,854904993184642	11,667374492064615	11,933292911527285	10,147779420654564	11,95656590421351	11,276128665999424	11,162126524409054	11,870082558128821	11,375323725881074	1720,828369140625	2314,044677734375	2935,19970703125	3704,093994140625	3252,5927734375	3910,921630859375	1134,45166015625	3974,522705078125	2480,00732421875	2291,579345703125	3743,267822265625	2656,5234375
Q15532;Q15532-2	SS18	Homo sapiens	Protein SSXT;Isoform 2 of Protein SSXT	SSXT_HUMAN	1	1	1	False	11,33825162401732	11,118747845318236	11,649938087106127	NaN	10,831815863335992	11,38829075599022	11,729307901351678	NaN	11,959275294389897	11,498865271785021	11,17573410053025	11,44972233824621	2589,1298828125	2223,7021484375	3213,5185546875	NaN	1822,6424560546875	2680,508056640625	3395,263671875	NaN	3981,993896484375	2894,0322265625	2313,2958984375	2797,112060546875
Q15555;Q15555-3;Q15555-4;Q15555-5	MAPRE2	Homo sapiens	Microtubule-associated protein RP/EB family member 2;Isoform 3 of Microtubule-associated protein RP/EB family member 2;Isoform 4 of Microtubule-associated protein RP/EB family member 2;Isoform 5 of Microtubule-associated protein RP/EB family member 2	MARE2_HUMAN	2	2	2	False	9,100817910696577	10,554093690867637	10,06437767213403	11,345328357187578	9,210518409577594	10,121962979002435	9,987152355598273	10,500558300841561	10,060615624504711	8,877860940723059	10,072941355710075	10,409727319263594	549,0592041015625	1503,48388671875	1070,72900390625	2601,861328125	592,4371948242188	1114,3316650390625	1014,9214477539062	1448,7152099609375	1067,9405517578125	470,43804931640625	1077,1036376953125	1360,317138671875
Q15560;Q15560-2	TCEA2	Homo sapiens	Transcription elongation factor A protein 2;Isoform 2 of Transcription elongation factor A protein 2	TCEA2_HUMAN	2	2	2	False	12,187750607264963	11,819208081393018	11,71728116668463	11,681820466303847	11,484573516348888	11,579246527759107	11,687768967603809	11,154638125524613	11,744496458694659	11,758983074632262	11,308318474539734	11,50129344837534	4665,28857421875	3613,5673828125	3367,077392578125	3285,3251953125	2865,504638671875	3059,852783203125	3298,899169921875	2279,715576171875	3431,197509765625	3465,824951171875	2535,9638671875	2898,9072265625
