PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.Log2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.Log2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.Log2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.Log2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.Log2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.Log2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.Log2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.Log2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.Log2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.Log2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.Log2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.Log2Quantity	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity
P43251;P43251-2;P43251-3;P43251-4	BTD	Homo sapiens	Biotinidase;Isoform 2 of Biotinidase;Isoform 3 of Biotinidase;Isoform 4 of Biotinidase	BTD_HUMAN	9	9	9	True	15,987345818596033	16,137747906032118	15,948219990211207	15,730797443267186	15,796998387694607	15,649397628990188	16,569008060643572	16,444997158935884	16,2548394767171	15,875674556523775	16,119429885852167	15,964882230257507	64963,68359375	72101,8125	63225,546875	54380,3359375	56933,82421875	51397,0390625	97222,8671875	89214,90625	78197,75	60124,8828125	71192,1171875	63959,99609375
P43304	GPD2	Homo sapiens	Glycerol-3-phosphate dehydrogenase, mitochondrial	GPDM_HUMAN	42	45	52	False	19,48726069144484	19,505257317953145	19,455086365691923	19,4846242803548	19,22980046443902	19,39532166314975	19,693219470602497	19,318241860123152	19,559945339662512	19,265837348856394	19,20763593582436	19,325996278691477	734936,8125	744162,0625	718728	733595	614818,25	689562,4375	847714,8125	653687,625	772912,375	630369,125	605444,8125	657210,625
P43307	SSR1	Homo sapiens	Translocon-associated protein subunit alpha	SSRA_HUMAN	3	3	4	True	19,04057986398192	19,575401444958658	19,20074313486595	18,950365446932288	18,91587199531326	18,871376810191872	18,84849610492383	18,713961931353065	18,861268780423558	18,677478571961643	18,73221939847073	18,677835753606505	539244,4375	781237,375	602559,0625	506557,125	494589,46875	479568,3125	472022,5	429995,46875	476220,03125	419257,9375	435471,6875	419361,75
P43308	SSR2	Homo sapiens	Translocon-associated protein subunit beta	SSRB_HUMAN	1	1	1	True	15,528549138005367	15,39391921498689	15,544944511212853	15,167889890984714	14,98847111997246	15,250623852576274	15,038217893537306	14,815630825756049	15,193810778231363	14,760844792546905	14,72398688336261	15,063521315531885	47267,11328125	43055,77734375	47807,33984375	36812,03515625	32507,1875	38984,79296875	33647,64453125	28836,947265625	37479,4140625	27762,40234375	27062,11328125	34242,99609375
P43353	ALDH3B1	Homo sapiens	Aldehyde dehydrogenase family 3 member B1	AL3B1_HUMAN	10	10	11	False	16,02589045501113	16,147677425551397	16,14886211121898	16,080082165370886	15,890885168579716	15,838135387836369	16,316239955319233	16,17659882556378	16,00959629030276	15,961030289713861	15,998021014803427	15,724080694314184	66722,71875	72599,7734375	72659,4140625	69276,6796875	60762,14453125	58580,6015625	81597,6484375	74069,8515625	65973,375	63789,453125	65446,1640625	54127,74609375
P43378	PTPN9	Homo sapiens	Tyrosine-protein phosphatase non-receptor type 9	PTN9_HUMAN	9	9	9	False	15,33041690094778	15,320659819062858	15,42922180752983	15,07219378747524	15,178463047081598	15,100204828957143	15,171791143388857	15,3302102131614	15,101636871356739	15,06545804550949	15,279917430773432	14,992233463822764	41201,71875	40924,0078125	44122,34375	34449,4609375	37082,8125	35124,859375	36911,71484375	41195,81640625	35159,7421875	34288,99609375	39784,4609375	32592,072265625
P43487	RANBP1	Homo sapiens	Ran-specific GTPase-activating protein	RANG_HUMAN	13	13	16	False	19,170815061901934	19,244469816776856	19,113692733539033	19,16119278969239	19,447080450830793	19,21859397940343	19,097627744050907	19,28979461248365	19,25009467665654	19,20650228789851	19,193236877834938	19,324906921474593	590188	621101,625	567276,5625	586264,75	714750,625	610061	560994,75	640924,375	623527,9375	604969,25	599432,125	656714,5625
P43490	NAMPT	Homo sapiens	Nicotinamide phosphoribosyltransferase	NAMPT_HUMAN	26	26	31	False	20,236445203308246	20,222877871245533	20,196464803528904	20,530631845358638	20,355377579934554	20,62036426447295	19,934134913745446	20,003824292509783	20,143433819491484	20,346738655201445	20,096131057943484	20,3412385126749	1235313	1223750,375	1201549,625	1514732,75	1341464,625	1611937,375	1001780,4375	1051359,25	1158184,625	1333455,875	1120826,125	1328381,875
P43652	AFM	Homo sapiens	Afamin	AFAM_HUMAN	1	1	1	True	12,702725434520662	12,576952860028252	12,56326832080439	11,988125220309012	12,735764035901582	12,513365090976977	12,627860575381517	11,163235673121383	12,647655274402963	10,453859641432128	8,369719540041945	11,48089063835617	6666,5537109375	6109,98388671875	6052,30224609375	4062,42431640625	6820,9833984375	5846,53076171875	6329,43310546875	2293,341796875	6416,87548828125	1402,572509765625	330,77801513671875	2858,198974609375
P43686	PSMC4	Homo sapiens	26S proteasome regulatory subunit 6B	PRS6B_HUMAN	24	26	32	False	17,273224906264176	17,326167492502854	17,291252919235262	17,264234116463008	17,466115803973345	17,29701209837494	17,36585437894336	17,55680071102768	17,454287243261298	17,404208660546388	17,518884949500627	17,506460859693057	158401,328125	164322,15625	160393,140625	157417,25	181060,9375	161034,703125	168905,21875	192807,375	179582,5	173455,8125	187806,171875	186195,78125
P43897	TSFM	Homo sapiens	Elongation factor Ts, mitochondrial	EFTS_HUMAN	14	15	16	False	17,486500557437992	17,620706116596356	17,506124497173992	17,12810338244158	17,413321898580175	17,12318064601143	17,72786728822976	17,430072716118854	17,49299479271188	16,876244230954146	17,37781566652815	16,995857876706072	183637,421875	201539,921875	186152,375	143242,828125	174554,96875	142754,890625	217080	176593,5	184465,921875	120297,2578125	170311,421875	130696,21875
P45381	ASPA	Homo sapiens	Aspartoacylase	ACY2_HUMAN	7	7	7	False	15,655107472440742	15,484335774449473	15,347133232231194	15,42512573204145	15,56183866529843	15,207321065038036	15,944124907463737	15,957638333959489	15,813395556106634	15,82224735866515	15,962926974289589	15,709479532886816	51600,859375	45840,51953125	41681,89453125	43997,25	48370,4609375	37832,04296875	63046,3359375	63639,65234375	57584,60546875	57939,0078125	63873,37109375	53582,6953125
P45877	PPIC	Homo sapiens	Peptidyl-prolyl cis-trans isomerase C	PPIC_HUMAN	5	5	6	False	17,908369438543104	17,65609169931858	17,758917015743084	17,405884155816146	17,650425641190083	17,641913487163137	17,70780450004153	17,536880599104414	17,541173912670263	17,302875251894353	17,59250402964821	17,626896540816475	246012,046875	206544,296875	221802,640625	173657,375	205734,703125	204524,40625	214082,078125	190163,46875	190730,21875	161690,484375	197638,4375	202406,5625
P45880	VDAC2	Homo sapiens	Voltage-dependent anion-selective channel protein 2	VDAC2_HUMAN	18	18	21	False	21,622161772417794	21,872577664145787	21,65543496754418	21,70397557835034	21,70476644554843	21,505844498511653	21,837672104406472	21,698063767162402	21,950136339510276	21,70376050318075	21,72405445701544	21,651595471411948	3227894	3839741,25	3303204,75	3416234,5	3418107,75	2977860	3747954,75	3402264,25	4051813,5	3415725,25	3464112,75	3294425,5
P45954	ACADSB	Homo sapiens	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	ACDSB_HUMAN	15	15	16	False	17,948553579114186	17,913385428723302	17,79033238719953	17,63985889861376	17,708384672804666	17,542799742125222	18,25201179995203	17,96803383510494	17,95899938218996	17,603654074158943	17,851453016248712	17,494238273330133	252960,671875	246868,875	226685,46875	204233,34375	214168,1875	190945,28125	312178,53125	256399,484375	254798,875	199171,828125	236495,46875	184624,984375
P45973	CBX5	Homo sapiens	Chromobox protein homolog 5	CBX5_HUMAN	6	6	9	False	16,533705076343463	16,686340971892015	16,63424871697643	16,815440466982164	16,693489509819308	16,975664500893714	16,454842961329618	16,527979596296692	16,81616346231199	16,537670456587854	16,321359201714287	16,881397614067307	94872,6796875	105460,3359375	101720,34375	115332,5703125	105984,1875	128879,609375	89825,84375	94496,9140625	115390,3828125	95133,8046875	81887,703125	120727,734375
P45974-2	USP5	Homo sapiens	Isoform Short of Ubiquitin carboxyl-terminal hydrolase 5	UBP5_HUMAN	42	43	53	False	19,47858177278524	19,406442741135546	19,396259182246226	19,41306591946849	19,566637546682102	19,365487717416265	19,445403398333344	19,4784298236989	19,387292159821392	19,437969686005637	19,481707432686914	19,390422207259046	730528,875	694898,5	690010,6875	698096	776506	675449,1875	713920,25	730451,9375	685735,25	710251,125	732113,3125	687224,625
P45983;P45983-2;P45983-3;P45983-4	MAPK8	Homo sapiens	Mitogen-activated protein kinase 8;Isoform 1 of Mitogen-activated protein kinase 8;Isoform 3 of Mitogen-activated protein kinase 8;Isoform 4 of Mitogen-activated protein kinase 8	MK08_HUMAN	1	1	1	False	12,844080768106608	NaN	12,371789005229731	NaN	NaN	13,124737723750624	14,818975885176359	NaN	NaN	11,865274424124456	NaN	12,412826172312707	7352,81396484375	NaN	5300,04541015625	NaN	NaN	8931,8154296875	28903,88671875	NaN	NaN	3730,813232421875	NaN	5452,96875
P45984;P45984-2	MAPK9	Homo sapiens	Mitogen-activated protein kinase 9;Isoform Alpha-1 of Mitogen-activated protein kinase 9	MK09_HUMAN	12	12	13	False	15,69893458780371	15,72122657087746	15,617753742133424	15,651802702200225	15,63999001731004	15,71676598896062	15,51590721002186	15,6775396496244	15,760496214293001	15,683766519809284	15,848927662995276	15,7615638116921	53192,4765625	54020,76953125	50281,9765625	51482,79296875	51062,9765625	53854,00390625	46854,734375	52409,4609375	55511,390625	52636,15625	59020,46484375	55552,484375
P45985;P45985-2	MAP2K4	Homo sapiens	Dual specificity mitogen-activated protein kinase kinase 4;Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 4	MP2K4_HUMAN	10	10	11	False	15,841954136906825	15,480993779529001	15,470507081144621	15,560241627221265	15,641622815092763	15,642233522449626	15,366441217162732	15,493059558333725	15,557585816665135	15,977192564587963	15,784508148448193	15,710104133559746	58735,8671875	45734,453125	45403,22265625	48316,9453125	51120,80078125	51142,4453125	42243,484375	46118,55078125	48228,08203125	64508,09375	56443,04296875	53605,8984375
P46019	PHKA2	Homo sapiens	Phosphorylase b kinase regulatory subunit alpha, liver isoform	KPB2_HUMAN	11	11	11	False	15,52074395435136	15,435863015651654	15,321298776319754	15,285528228134233	15,329938916151331	15,085109657281249	15,067644430364023	15,259990170369825	15,269644498721975	15,424566518786708	15,458836123086314	14,98764862719371	47012,08203125	44325,921875	40942,13671875	39939,48828125	41188,0703125	34759,2578125	34341	39238,71484375	39502,17578125	43980,19921875	45037,40625	32488,66015625
P46020;P46020-2;P46020-3	PHKA1	Homo sapiens	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform;Isoform 2 of Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform;Isoform 3 of Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	KPB1_HUMAN	11	11	11	False	14,121203233324358	14,315727265083943	14,232756127165858	14,195367100572403	14,15707179471623	14,029207848784138	14,03861394483297	14,024784255849417	13,869951008186655	13,902045859352432	14,13383613622532	13,940838337090483	17819,919921875	20392,1640625	19252,47265625	18759,93359375	18268,515625	16719,080078125	16828,44140625	16667,89453125	14971,7060546875	15308,505859375	17976,64453125	15725,71875
P46059	SLC15A1	Homo sapiens	Solute carrier family 15 member 1	S15A1_HUMAN	1	1	1	False	13,987463271813173	13,08007630829451	13,318265447348328	13,338825862837004	13,319883217301427	13,482168600151178	12,620198007365554	13,308440414961142	13,635450554077202	13,212201130999972	13,09348075312946	14,064119255712434	16242,2431640625	8659,5498046875	10214,0361328125	10360,642578125	10225,49609375	11442,927734375	6295,90478515625	10144,712890625	12725,6396484375	9490,0576171875	8740,3828125	17128,595703125
P46060	RANGAP1	Homo sapiens	Ran GTPase-activating protein 1	RAGP1_HUMAN	26	26	29	False	17,028724575674353	16,99322874191974	16,96092179704538	17,06086626046407	17,081141416998385	17,051941413352946	16,856131316645076	16,975936457625238	17,063940426164063	17,105320449034473	16,93240274685798	17,025690604317496	133707,84375	130458,2578125	127569,3125	136720,140625	138655,125	135876,96875	118631,8046875	128903,90625	137011,78125	140998,515625	125072,296875	133426,953125
P46063	RECQL	Homo sapiens	ATP-dependent DNA helicase Q1	RECQ1_HUMAN	27	30	35	False	18,857404346609876	18,827244032605268	18,981159958603243	18,9404245468085	18,79162346454134	18,904072374133804	18,816948381253628	18,76597934405186	18,71395878590579	18,860648362738353	18,816952579099556	18,74952606362595	474946,125	465120,1875	517485,875	503078,6875	453776,84375	490560,78125	461812,71875	445782,15625	429994,53125	476015,28125	461814,0625	440727,09375
P46087;P46087-4	NOP2	Homo sapiens	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase;Isoform 4 of Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	NOP2_HUMAN	20	20	20	False	16,31579082590904	16,24765651574889	16,40056339321453	16,461881821789785	16,30594886874524	16,60028101537911	16,24037384684267	16,194090877823204	16,437388759543666	16,471978538583073	16,200503687007984	16,523421970342987	81572,25	77809,3828125	86509,046875	90265,171875	81017,6640625	99353,3515625	77417,59375	74973,3828125	88745,6484375	90899,109375	75307,3828125	94198,859375
