PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
Q92997;Q92997-2	DVL3	Homo sapiens	Segment polarity protein dishevelled homolog DVL-3;Isoform 2 of Segment polarity protein dishevelled homolog DVL-3	DVL3_HUMAN	1	1	1	True	7,365687277201677	0,1861598914294835	0,6047330606919278	7,075521095430834	0,1920287754801551	8,359324098898384	7,652870022004207	8,952532956475212	8,247158564211023	8,96939205496996	5,192504883772634	2,30562579944328	164,92739868164062	1,1377313137054443	1,5206973552703857	134,87892150878906	1,142369031906128	328,40313720703125	201,2534942626953	495,428466796875	303,8380126953125	501,2519226074219	36,567874908447266	4,94381856918335
Q93045;Q93045-2	STMN2	Homo sapiens	Stathmin-2;Isoform 2 of Stathmin-2	STMN2_HUMAN	1	1	1	False	18,21201005196468	17,94995349031176	18,91393922148652	18,415576865022775	18,08194318564667	18,477735295360866	18,133273465794275	18,562726413223526	18,173171741022376	18,132708065936008	17,944933276421818	18,364609593427716	303641,625	253206,25	493927,3125	349656,03125	277464,40625	365050,1875	287514,15625	387201,875	295576,4375	287401,5	252326,6875	337519,09375
Q93052	LPP	Homo sapiens	Lipoma-preferred partner	LPP_HUMAN	13	14	19	False	13,83546034221379	13,400537335461722	14,016819337031542	13,996523053904712	13,596648957614606	13,08285639565833	13,838832197639215	13,855924562872689	13,65066371460579	13,923223556686839	13,492306997967663	13,378711453254008	14618,0205078125	10813,435546875	16576,126953125	16344,5615234375	12387,9423828125	8676,2529296875	14652,2255859375	14826,8505859375	12860,541015625	15534,880859375	11523,625	10651,0751953125
Q93063;Q93063-2;Q93063-3	EXT2	Homo sapiens	Exostosin-2;Isoform 2 of Exostosin-2;Isoform 3 of Exostosin-2	EXT2_HUMAN	12	13	13	False	14,48469028318294	14,537531003814436	13,676035612996774	13,605307014669469	14,145176679185463	14,12766047555445	13,642000335712709	13,697462459613844	13,669708724273516	13,755042915150867	14,04004334635688	13,699456171368817	22925,892578125	23781,15234375	13088,712890625	12462,509765625	18118,509765625	17899,857421875	12783,544921875	13284,556640625	13031,4384765625	13825,4892578125	16845,123046875	13302,927734375
Q93083	MT1L	Homo sapiens	Metallothionein-1L	MT1L_HUMAN	1	1	1	True	8,901541616559799	8,513328100469401	10,092687307973785	NaN	9,899883866521552	9,139845151790857	11,558541462845598	NaN	11,357667974989312	8,274525603372071	9,022552378294831	NaN	478,2236328125	365,3988037109375	1091,9471435546875	NaN	955,348876953125	564,1148681640625	3016,25244140625	NaN	2624,2109375	309,6566467285156	520,0665283203125	NaN
Q969E8	TSR2	Homo sapiens	Pre-rRNA-processing protein TSR2 homolog	TSR2_HUMAN	1	1	1	False	NaN	10,626673671331677	NaN	NaN	10,666163311230413	8,300045417084188	NaN	NaN	8,211188287029435	11,73413135842936	11,295413447775402	NaN	NaN	1581,0570068359375	NaN	NaN	1624,931640625	315,1828918457031	NaN	NaN	296,3561706542969	3406,63427734375	2513,380615234375	NaN
Q969G3;Q969G3-2;Q969G3-3;Q969G3-4;Q969G3-5;Q969G3-6	SMARCE1	Homo sapiens	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Isoform 4 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Isoform 5 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Isoform 6 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	SMCE1_HUMAN	1	1	1	False	10,074611884634194	8,189208041347591	10,707453398534517	9,84210553325502	6,699925266007056	8,61862119288664	NaN	NaN	NaN	8,538488892275074	NaN	NaN	1078,3515625	291,875244140625	1672,1092529296875	917,84423828125	103,96292114257812	393,064208984375	NaN	NaN	NaN	371,8273010253906	NaN	NaN
Q969G5	CAVIN3	Homo sapiens	Caveolae-associated protein 3	CAVN3_HUMAN	8	8	8	True	13,82764478355901	14,062125871114416	14,47494170709272	13,921644206714234	14,535907644683732	14,138869232387433	13,37396765186836	14,142320399855786	14,017979896833804	13,980989364339125	15,176418951873405	14,50259256074903	14539,0439453125	17104,9453125	22771,5	15517,8837890625	23754,408203125	18039,46875	10616,1103515625	18082,673828125	16589,466796875	16169,521484375	37030,30859375	23212,150390625
Q969H8	MYDGF	Homo sapiens	Myeloid-derived growth factor	MYDGF_HUMAN	7	8	9	False	16,133624513858344	15,376415431829349	16,532024833354537	16,485330489100324	15,57038708526242	16,176008140972943	16,304392545771297	15,93565884726133	15,815760485960377	16,499897211114295	15,977543278606847	16,362512139177095	71896,03125	42536,55078125	94762,25	91744,2734375	48657,921875	74039,53125	80930,3125	62677,44921875	57679,078125	92675,296875	64523,77734375	84257,1875
Q969M3;Q969M3-3	YIPF5	Homo sapiens	Protein YIPF5;Isoform 3 of Protein YIPF5	YIPF5_HUMAN	1	1	1	False	NaN	9,935388363122524	10,585261260976761	10,987479058739638	NaN	9,478612876555031	10,199595369432092	NaN	10,099966551862023	11,08115491081177	8,926965257510338	10,020553244953785	NaN	979,1515502929688	1536,318115234375	2030,3026123046875	NaN	713,4224853515625	1175,937255859375	NaN	1097,4705810546875	2166,506591796875	486,7257385253906	1038,6927490234375
Q969P0;Q969P0-3	IGSF8	Homo sapiens	Immunoglobulin superfamily member 8;Isoform 3 of Immunoglobulin superfamily member 8	IGSF8_HUMAN	2	2	2	False	10,730387832584542	NaN	NaN	NaN	10,908089847998477	10,380733990317802	NaN	NaN	NaN	NaN	9,72817815890501	10,307335491738913	1698,903076171875	NaN	NaN	NaN	1921,5966796875	1333,252197265625	NaN	NaN	NaN	NaN	848,1514892578125	1267,1182861328125
Q969Q0	RPL36AL	Homo sapiens	60S ribosomal protein L36a-like	RL36L_HUMAN	3	3	3	False	13,435009791764692	13,463847496868924	14,587746619465003	13,547409160881221	13,032083572473342	13,78906075627095	13,791969371207944	13,935842707956658	13,513082758309885	13,251878640349227	12,726392387744637	13,481613457124196	11074,9287109375	11298,5302734375	24623,47265625	11972,2705078125	8376,2197265625	14155,359375	14183,9267578125	15671,359375	11690,7734375	9754,6787109375	6776,818359375	11438,525390625
Q969S3	ZNF622	Homo sapiens	Zinc finger protein 622	ZN622_HUMAN	1	1	1	False	NaN	8,96248637619286	9,766790118501545	NaN	NaN	9,56287148512906	7,977531662297227	10,024490411168511	9,220337288850695	NaN	8,724004167525749	NaN	NaN	498,85833740234375	871,15771484375	NaN	NaN	756,3297119140625	252,04397583007812	1041,53125	596,4830322265625	NaN	422,8505859375	NaN
Q969T9	WBP2	Homo sapiens	WW domain-binding protein 2	WBP2_HUMAN	6	6	6	True	13,424672741141235	13,476909204835666	12,987261496209852	13,59107989164736	13,220837204181402	13,381459514238003	13,174501645464881	12,55041753908478	13,07128738741032	13,891814939274381	13,496499929145903	13,286561286628361	10995,859375	11401,2880859375	8119,98583984375	12340,21484375	9547,0361328125	10671,3828125	9245,2822265625	5998,630859375	8606,9560546875	15200,3291015625	11557,1650390625	9992,0244140625
Q969Z4	RELT	Homo sapiens	Tumor necrosis factor receptor superfamily member 19L	TR19L_HUMAN	1	1	1	True	10,557920323950897	10,12009435539405	NaN	10,323961972040967	9,280249565243546	NaN	10,065563228120137	NaN	8,581158507978671	9,457478074619129	9,29946978389947	-0,1309637743524035	1507,47705078125	1112,8892822265625	NaN	1281,8057861328125	621,7753295898438	NaN	1071,6092529296875	NaN	382,98883056640625	703,04736328125	630,1143188476562	0,9132211804389954
Q96A33;Q96A33-2	CCDC47	Homo sapiens	PAT complex subunit CCDC47;Isoform 2 of PAT complex subunit CCDC47	CCD47_HUMAN	1	1	1	False	10,814166429835334	10,3172248978549	11,739029628612645	11,47124814587961	11,174643817654996	11,3444621193084	11,163813186714458	12,25027325908204	11,415081913114776	11,088273562197728	11,464481686165247	11,529505619478579	1800,480712890625	1275,833984375	3418,22021484375	2839,159423828125	2311,54833984375	2600,299560546875	2294,260009765625	4871,9150390625	2730,750732421875	2177,22314453125	2825,87451171875	2956,15380859375
Q96A49	SYAP1	Homo sapiens	Synapse-associated protein 1	SYAP1_HUMAN	2	3	3	True	12,647832996354248	11,779198443644207	13,537364164095568	12,640356711132581	11,46611605297358	12,720401360523532	12,78146697667992	12,995922640418458	12,098044776981801	12,530358230458797	11,424422100218703	12,30248720723156	6417,666015625	3514,730712890625	11889,201171875	6384,49462890625	2829,07763671875	6748,73486328125	7040,5234375	8168,88037109375	4384,03857421875	5915,802734375	2748,4873046875	5051,46875
