"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
-1.02178205979001,12.7065870186417,-7.99725669578695,8.50967793856321e-08,7.97129153453827,"PAPLN",19,-9.49973953640944,4.13297485824468e-09,4.23786520648225e-06,3.2139952590326e-07
-1.03939503396299,14.1066626465954,-8.54605829427489,2.89890636979139e-08,9.05928291919046,"SCUBE3",12,-9.21645650656597,6.97939017408745e-09,1.58803799428034e-06,5.18079681427468e-07
1.54729947095624,14.9062453851267,8.87789941362233,1.54079035218308e-08,9.69741347384769,"CSPG4",32,9.18778779277777,7.36357451032571e-09,9.73908502710251e-07,5.22832544223628e-07
-1.3401196913207,17.4845974464278,-9.46798136050039,5.18382517620112e-09,10.7961324567853,"HMGA1",6,-8.99521295689355,1.05821808840691e-08,4.25959497414195e-07,7.20055052677235e-07
-0.588964556088673,16.5094279757257,-8.56677161340867,2.78560440667768e-08,9.09954727085753,"ADAMTSL1",29,-8.92614989283287,1.20657164775157e-08,1.58803799428034e-06,7.88160871622407e-07
-1.38775945210473,11.7885575988617,-9.27854992129734,7.31924916255629e-09,10.4483743388241,"MT1L",1,-8.83978756079285,1.42290638683746e-08,5.04078784898954e-07,8.93726723226955e-07
-0.906961972360254,14.716506126952,-8.56149839104733,2.81400683207252e-08,9.08930221073753,"HNRNPC",9,-8.78150883210705,1.59127127550798e-08,1.58803799428034e-06,9.62458965195903e-07
0.636274173460791,17.8253601307099,9.78247405333094,2.95208266464185e-09,11.3633144278019,"MYL12B",10,8.69345186825791,1.88577526663385e-08,2.55342360315419e-07,1.09985052675887e-06
0.60763332520207,19.6935011026903,9.307755712202,6.93813670449227e-09,10.5022934885939,"TAGLN2",14,8.60178426244251,2.25280542833849e-08,5.04078784898954e-07,1.2686080099301e-06
1.49119848412806,15.3185699560179,8.35598569560642,4.19042158829718e-08,8.68709645806303,"PLXNB2",22,8.55881739357487,2.44956349200468e-08,2.22148804123897e-06,1.33342689080433e-06
-1.1880572548002,17.4667197918754,-8.69094170117553,2.19599045371483e-08,9.33970914686491,"ADM",7,-8.32537966541548,3.87699624391015e-08,1.33664056974355e-06,2.04237482971081e-06
-1.49254260895923,14.6493316911723,-7.83175789880043,1.1867441951727e-07,7.63514243950582,"COL5A3",29,-8.10397520584523,6.03268454187359e-08,5.27112538602163e-06,3.07866476190416e-06
-0.927118937763431,15.8674525918596,-7.92251295587366,9.88441522462665e-08,7.81994038730392,"IGFBP3",11,-7.91712718000805,8.8056394498104e-08,4.77771257165905e-06,4.28769184044453e-06
-0.692055105540863,16.7966308074097,-7.84669085104267,1.15148587173911e-07,7.66562658747865,"TGFBI",20,-7.91041304745251,8.92690100401008e-08,5.25658955751391e-06,4.28769184044453e-06
1.0440739697014,14.577348718378,9.09926793683146,1.01868391644415e-08,10.1149478253474,"RESF1",1,7.80814132212483,1.10027679489382e-07,6.69649263736114e-07,5.13376130806787e-06
-0.920073862191625,16.3431217654913,-7.8566692006054,1.12853047685032e-07,7.68597944299968,"CSRP1",9,-7.6632723283284,1.48308213165977e-07,5.25658955751391e-06,6.72766665734979e-06
1.52392652404122,15.3234526705998,7.3488406074246,3.19859016927536e-07,6.63295148963245,"ALPL",12,7.44127858604429,2.35630600550509e-07,1.38332095724622e-05,1.0399961443631e-05
1.16601456667555,15.5603527839277,8.05720632053232,7.550613975204e-08,8.09213466098775,"PDCD1LG2",3,7.34296898035833,2.89861833900561e-07,3.87775390846065e-06,1.2456877742625e-05
0.704923141496199,20.4873141145363,7.32044892001215,3.3938920006058e-07,6.57304717225247,"HLA-A",23,7.25031216949514,3.52770457459688e-07,1.4301492615947e-05,1.47716620907372e-05
0.891057189810027,15.1640135224778,6.90716203738451,8.14100200854883e-07,5.68886507543343,"ERAP1",28,7.23436712286305,3.64940206284517e-07,3.3447666598883e-05,1.48992183561614e-05
1.3021017707679,12.6624950522059,6.66118075876511,1.38515620638066e-06,5.15200677586824,"PLXNA1",9,7.04760065205961,5.44309477032339e-07,5.05864488913912e-05,2.16802258641395e-05
1.13155126010141,12.7824279189063,6.69381562383714,1.29026109731082e-06,5.22367793955815,"PLXNA2",4,6.81546686008233,9.00409079655306e-07,4.81917704557777e-05,3.50100183579526e-05
-1.11677651286026,15.6198377810791,-6.50513736831865,1.94847896164208e-06,4.80746639470814,"RBMX",16,-6.61310748517087,1.40439426972355e-06,6.66739725821075e-05,5.28026266841503e-05
-2.02499076737735,14.1644424823477,-6.70390667939299,1.26229115631725e-06,5.24581214109929,"PLEKHA6",1,-6.60667850198701,1.42449137118256e-06,4.81917704557777e-05,5.28026266841503e-05
-0.60697752890789,17.0151960853963,-6.49332859586166,1.99970492180079e-06,4.78127004829312,"PDIA4",32,-6.59709125808769,1.45501100397143e-06,6.66739725821075e-05,5.28026266841503e-05
-0.941319622723817,14.5297448217487,-6.73168512564322,1.18846985891619e-06,5.30667586464045,"SUB1",5,-6.58009079956463,1.51078982101234e-06,4.65036280746433e-05,5.35493676737326e-05
-1.44713953797038,15.3690405916815,-6.46046971573205,2.14964491035492e-06,4.70828670190994,"NCL",19,-6.5711004344218,1.54116962791418e-06,6.92698912338777e-05,5.35493676737326e-05
1.65107309772811,12.0556589897181,6.48682270435067,2.0285157378026e-06,4.76683020048984,"PLXND1",3,6.49288490520709,1.833418715211e-06,6.66739725821075e-05,6.11036767249233e-05
-1.66886932732128,15.4671375130445,-6.40518899417697,2.42844655621371e-06,4.58520551423866,"NPM1",11,-6.46428590591478,1.95397578013454e-06,7.67490770604508e-05,6.38191381701107e-05
1.05664396379632,11.9403171336368,6.1701366353835,4.09610249878026e-06,4.05781290428824,"ADGRE5",6,6.4359861631425,2.08128352499658e-06,0.000112193454475002,6.66442728091994e-05
1.00961887830913,12.9765613621734,6.37268904824985,2.60941590347886e-06,4.51267307805574,"ATP5PD",3,6.29912475187059,2.82820627835815e-06,7.95794173342836e-05,8.74562134726685e-05
1.11887906579571,13.270155631609,6.53197236773493,1.83701780357553e-06,4.86693284947932,"ATP5F1E",1,6.29753417530739,2.83834234555017e-06,6.42337774080207e-05,8.74562134726685e-05
1.50064922960619,13.1953296576143,6.35901746839653,2.68962325626007e-06,4.48212343981804,"ACTBL2",1,6.26753500129779,3.03664138575955e-06,8.03668075234434e-05,9.05577256442901e-05
