Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P51513;P51513-5	P51513;P51513-5	-2,0902911067348913	2,0902911067348913	0,017359847796092547	0,034336848164815525	12	P51513;P51513-5	NOVA1	RNA-binding protein Nova-1;Isoform 3 of RNA-binding protein Nova-1	NOVA1_HUMAN	3	-76,51667020962756	0,23483329790372443	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13889;Q13889-2	Q13889;Q13889-2	-2,8532174249195212	2,8532174249195212	0,017558746981408066	0,03454860159056778	12	Q13889;Q13889-2	GTF2H3	General transcription factor IIH subunit 3;Isoform 2 of General transcription factor IIH subunit 3	TF2H3_HUMAN	3	-86,16127844982415	0,1383872155017585	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q71SY5;Q71SY5-4;Q71SY5-5;Q71SY5-6;Q86YD1;Q86YD1-2	Q71SY5;Q71SY5-4;Q71SY5-5;Q71SY5-6;Q86YD1;Q86YD1-2	-1,019953378116713	1,019953378116713	0,017739195482954485	0,03474682337812157	11	Q71SY5;Q71SY5-4;Q71SY5-5;Q71SY5-6;Q86YD1;Q86YD1-2	MED25;MED25;MED25;MED25;PTOV1;PTOV1	Mediator of RNA polymerase II transcription subunit 25;Isoform 4 of Mediator of RNA polymerase II transcription subunit 25;Isoform 5 of Mediator of RNA polymerase II transcription subunit 25;Isoform 6 of Mediator of RNA polymerase II transcription subunit 25;Prostate tumor-overexpressed gene 1 protein;Isoform 2 of Prostate tumor-overexpressed gene 1 protein	MED25_HUMAN;MED25_HUMAN;MED25_HUMAN;MED25_HUMAN;PTOV1_HUMAN;PTOV1_HUMAN	2	-50,68677120331271	0,493132287966873	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P56270;P56270-2;P56270-3	P56270;P56270-2;P56270-3	-1,0736256860999205	1,0736256860999205	0,01781284122534912	0,03481394439615559	12	P56270;P56270-2;P56270-3	MAZ	Myc-associated zinc finger protein;Isoform 2 of Myc-associated zinc finger protein;Isoform 3 of Myc-associated zinc finger protein	MAZ_HUMAN	5	-52,48765515771515	0,4751234484228485	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NPG3;Q9NPG3-2	Q9NPG3;Q9NPG3-2	-1,0094145009370508	1,0094145009370508	0,018214994639132415	0,03527182085612726	12	Q9NPG3;Q9NPG3-2	UBN1	Ubinuclein-1;Isoform 2 of Ubinuclein-1	UBN1_HUMAN	5	-50,3252194532648	0,496747805467352	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q99735;Q99735-2	Q99735;Q99735-2	0,6697456631237987	0,6697456631237987	0,018658119753241074	0,03578046654793422	12	Q99735;Q99735-2	MGST2	Microsomal glutathione S-transferase 2;Isoform 2 of Microsomal glutathione S-transferase 2	MGST2_HUMAN	1	59,07924973835106	1,5907924973835106	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NR12-2	Q9NR12-2	1,5625879302405916	1,5625879302405916	0,018766641578811256	0,03589120373650386	12	Q9NR12-2	PDLIM7	Isoform 2 of PDZ and LIM domain protein 7	PDLI7_HUMAN	1	195,38323183323322	2,9538323183323323	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P40692	P40692	-0,5859748908929322	0,5859748908929322	0,01884668149192285	0,03598019485274154	11	P40692	MLH1	DNA mismatch repair protein Mlh1	MLH1_HUMAN	4	-33,38009928229966	0,6661990071770034	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8NDN9	Q8NDN9	-0,8881331834847815	0,8881331834847815	0,018847645032824205	0,03598019485274154	12	Q8NDN9	RCBTB1	RCC1 and BTB domain-containing protein 1	RCBT1_HUMAN	3	-45,96871806696407	0,5403128193303592	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q5SQN1;Q5SQN1-2;Q5SQN1-3;Q5SQN1-4	Q5SQN1;Q5SQN1-2;Q5SQN1-3;Q5SQN1-4	-0,976651894307257	0,976651894307257	0,01893161620732497	0,03607709162627854	11	Q5SQN1;Q5SQN1-2;Q5SQN1-3;Q5SQN1-4	SNAP47	Synaptosomal-associated protein 47;Isoform 2 of Synaptosomal-associated protein 47;Isoform 3 of Synaptosomal-associated protein 47;Isoform 4 of Synaptosomal-associated protein 47	SNP47_HUMAN	2	-49,18423307031108	0,5081576692968892	TLR10_WO	WT_WO	NaN	NaN	NaN
