Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P10644	P10644	-0,6280560962538373	0,6280560962538373	0,0065254106634695325	0,03189048073053314	12	P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	KAP0_HUMAN	8	-35,29523323764098	0,6470476676235902	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O95428;O95428-5;O95428-6	O95428;O95428-5;O95428-6	-1,859161063264945	1,859161063264945	0,0066896081332574915	0,03223174827842246	10	O95428;O95428-5;O95428-6	PAPLN	Papilin;Isoform 5 of Papilin;Isoform 6 of Papilin	PPN_HUMAN	6	-72,43634831623343	0,27563651683766566	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P48307;P48307-2	P48307;P48307-2	-1,5779754314207222	1,5779754314207222	0,006744255806531276	0,032342967783583684	12	P48307;P48307-2	TFPI2	Tissue factor pathway inhibitor 2;Isoform 2 of Tissue factor pathway inhibitor 2	TFPI2_HUMAN	2	-66,50483953358761	0,3349516046641239	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62891;Q59GN2	P62891;Q59GN2	-1,1514363256281452	1,1514363256281452	0,006867048863956399	0,03265242884478597	10	P62891;Q59GN2	RPL39;RPL39P5	60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5	RL39_HUMAN;R39L5_HUMAN	1	-54,98231811888845	0,45017681881111543	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P41221;P41221-2	P41221;P41221-2	-0,6273573607686248	0,6273573607686248	0,006928157282797989	0,03284908301386275	12	P41221;P41221-2	WNT5A	Protein Wnt-5a;Isoform 2 of Protein Wnt-5a	WNT5A_HUMAN	9	-35,26388741218665	0,6473611258781335	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q04941	Q04941	0,6892955512470583	0,6892955512470583	0,006950015414009167	0,032891974024277425	12	Q04941	PLP2	Proteolipid protein 2	PLP2_HUMAN	1	61,24959659035354	1,6124959659035354	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P27694	P27694	-0,8162245161199825	0,8162245161199825	0,006994496003334434	0,033020527634978224	12	P27694	RPA1	Replication protein A 70 kDa DNA-binding subunit	RFA1_HUMAN	6	-43,20737567083711	0,5679262432916289	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O14979;O14979-2;O14979-3	O14979;O14979-2;O14979-3	-1,187174230171991	1,187174230171991	0,007311426224039085	0,03388988827796027	12	O14979;O14979-2;O14979-3	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like;Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like;Isoform 3 of Heterogeneous nuclear ribonucleoprotein D-like	HNRDL_HUMAN	5	-56,0837805451188	0,43916219454881206	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15758	Q15758	0,7700887757303495	0,7700887757303495	0,0073587368069911755	0,0340503115073119	12	Q15758	SLC1A5	Neutral amino acid transporter B(0)	AAAT_HUMAN	2	70,53747199389929	1,7053747199389928	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O14561	O14561	-1,0890122627168475	1,0890122627168475	0,0074201194585506594	0,034197072287233475	10	O14561	NDUFAB1	Acyl carrier protein, mitochondrial	ACPM_HUMAN	1	-52,991689440658085	0,4700831055934191	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15691	Q15691	-0,7780729354251433	0,7780729354251433	0,007446817118130814	0,03430267301776111	12	Q15691	MAPRE1	Microtubule-associated protein RP/EB family member 1	MARE1_HUMAN	8	-41,685479674757765	0,5831452032524224	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96EP5;Q96EP5-2	Q96EP5;Q96EP5-2	-1,3412997121143375	1,3412997121143375	0,007450472137776567	0,03430267301776111	12	Q96EP5;Q96EP5-2	DAZAP1	DAZ-associated protein 1;Isoform 2 of DAZ-associated protein 1	DAZP1_HUMAN	2	-60,53350546807269	0,3946649453192731	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14554	Q14554	0,864389903901486	0,864389903901486	0,007490605112537591	0,03438445014824374	12	Q14554	PDIA5	Protein disulfide-isomerase A5	PDIA5_HUMAN	6	82,0569610260898	1,820569610260898	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UMR5;Q9UMR5-2;Q9UMR5-3	Q9UMR5;Q9UMR5-2;Q9UMR5-3	-1,4363719365410987	1,4363719365410987	0,007530616018369192	0,03455091588129388	12	Q9UMR5;Q9UMR5-2;Q9UMR5-3	PPT2	Lysosomal thioesterase PPT2;Isoform 2 of Lysosomal thioesterase PPT2;Isoform 3 of Lysosomal thioesterase PPT2	PPT2_HUMAN	2	-63,05046628592051	0,36949533714079497	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P13861;P13861-2	P13861;P13861-2	-0,6936514522673742	0,6936514522673742	0,007660214768339054	0,03485076496972016	12	P13861;P13861-2	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit;Isoform 2 of cAMP-dependent protein kinase type II-alpha regulatory subunit	KAP2_HUMAN	7	-38,17130126127992	0,6182869873872008	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62318;P62318-2	P62318;P62318-2	-0,66251416048241	0,66251416048241	0,00765890202121559	0,03485076496972016	12	P62318;P62318-2	SNRPD3	Small nuclear ribonucleoprotein Sm D3;Isoform 2 of Small nuclear ribonucleoprotein Sm D3	SMD3_HUMAN	2	-36,822364897195456	0,6317763510280454	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05204	P05204	-0,6469789205523345	0,6469789205523345	0,00787473344935265	0,03535578961535061	12	P05204	HMGN2	Non-histone chromosomal protein HMG-17	HMGN2_HUMAN	6	-36,13837895470237	0,6386162104529763	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62888	P62888	-0,6140212411571954	0,6140212411571954	0,008010636627756473	0,035692397681052306	12	P62888	RPL30	60S ribosomal protein L30	RL30_HUMAN	4	-34,662699289719576	0,6533730071028042	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q01638;Q01638-2	Q01638;Q01638-2	1,4614231454712685	1,4614231454712685	0,008095846019749043	0,035859698364133365	12	Q01638;Q01638-2	IL1RL1	Interleukin-1 receptor-like 1;Isoform B of Interleukin-1 receptor-like 1	ILRL1_HUMAN	12	175,3798779682224	2,753798779682224	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62312	P62312	-0,7003137160991646	0,7003137160991646	0,008131222128795775	0,03588271218580962	11	P62312	LSM6	U6 snRNA-associated Sm-like protein LSm6	LSM6_HUMAN	1	-38,456163583127534	0,6154383641687247	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q92520	Q92520	0,6434026983189327	0,6434026983189327	0,008163315750534863	0,03591703141766817	12	Q92520	FAM3C	Protein FAM3C	FAM3C_HUMAN	11	56,20089266788999	1,5620089266789	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O60831	O60831	1,047561546561132	1,047561546561132	0,00832149328517331	0,0363051042449338	12	O60831	PRAF2	PRA1 family protein 2	PRAF2_HUMAN	1	106,70331792588286	2,0670331792588286	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q969Q0	Q969Q0	-0,7290394829456495	0,7290394829456495	0,008444992463510442	0,036632041626760724	12	Q969Q0	RPL36AL	60S ribosomal protein L36a-like	RL36L_HUMAN	2	-39,66945513228685	0,6033054486771315	TLR10_Light	WT_Light	NaN	NaN	NaN
