Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P05155;P05155-2;P05155-3	P05155;P05155-2;P05155-3	1,271309337966304	1,271309337966304	7,386020471829277E-05	0,0013523506213745618	12	P05155;P05155-2;P05155-3	SERPING1	Plasma protease C1 inhibitor;Isoform 2 of Plasma protease C1 inhibitor;Isoform 3 of Plasma protease C1 inhibitor	IC1_HUMAN	6	141,38053442296322	2,4138053442296323	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P23142	P23142	0,6809702858363633	0,6809702858363633	7,514940073703391E-05	0,0013660867498734176	12	P23142	FBLN1	Fibulin-1	FBLN1_HUMAN	11	60,32176381253371	1,6032176381253371	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q06278	Q06278	0,6725011641806324	0,6725011641806324	7,66224406418351E-05	0,001369218192494937	12	Q06278	AOX1	Aldehyde oxidase	AOXA_HUMAN	29	59,38337632471979	1,593833763247198	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z6L1;Q7Z6L1-2	Q7Z6L1;Q7Z6L1-2	0,8186223916533477	0,8186223916533477	7,980641636322672E-05	0,0013922570689443151	12	Q7Z6L1;Q7Z6L1-2	TECPR1	Tectonin beta-propeller repeat-containing protein 1;Isoform 2 of Tectonin beta-propeller repeat-containing protein 1	TCPR1_HUMAN	10	76,37210368751595	1,7637210368751595	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P32320	P32320	2,4898648485619845	2,4898648485619845	8,40568017432731E-05	0,001425751220391158	11	P32320	CDA	Cytidine deaminase	CDD_HUMAN	2	461,7253254926858	5,617253254926858	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14249	Q14249	0,5875666313359351	0,5875666313359351	9,187346825574555E-05	0,0014858879432939267	12	Q14249	ENDOG	Endonuclease G, mitochondrial	NUCG_HUMAN	6	50,27100138038625	1,5027100138038625	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P49902;P49902-2	P49902;P49902-2	0,6734890806460561	0,6734890806460561	0,00010173420461472997	0,0015681739863375667	12	P49902;P49902-2	NT5C2	Cytosolic purine 5'-nucleotidase;Isoform 2 of Cytosolic purine 5'-nucleotidase	5NTC_HUMAN	14	59,49255489733678	1,5949255489733678	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y3A4	Q9Y3A4	1,4005101293423188	1,4005101293423188	0,00010396658657029134	0,0015735942045555134	12	Q9Y3A4	RRP7A	Ribosomal RNA-processing protein 7 homolog A	RRP7A_HUMAN	4	163,9949128590505	2,639949128590505	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14116;Q14116-2	Q14116;Q14116-2	1,3284763114983318	1,3284763114983318	0,00010980520222215734	0,0016140545963757378	12	Q14116;Q14116-2	IL18	Interleukin-18;Isoform 2 of Interleukin-18	IL18_HUMAN	5	151,13729854751264	2,5113729854751266	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9GZN8;Q9GZN8-2	Q9GZN8;Q9GZN8-2	0,8357105962342014	0,8357105962342014	0,00011288422927383288	0,0016321600188640344	12	Q9GZN8;Q9GZN8-2	C20orf27	UPF0687 protein C20orf27;Isoform 2 of UPF0687 protein C20orf27	CT027_HUMAN	5	78,47358900781636	1,7847358900781636	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8N6Y2	Q8N6Y2	0,6725090816882577	0,6725090816882577	0,00011427209963203188	0,001641632058033611	12	Q8N6Y2	LRRC17	Leucine-rich repeat-containing protein 17	LRC17_HUMAN	8	59,38425102278442	1,5938425102278442	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05413	P05413	0,7164602053566451	0,7164602053566451	0,00011592709083586857	0,0016518793275288057	12	P05413	FABP3	Fatty acid-binding protein, heart	FABPH_HUMAN	10	64,31454649607025	1,6431454649607025	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P50453	P50453	1,043733400102029	1,043733400102029	0,00011834513027841958	0,0016635494009776966	12	P50453	SERPINB9	Serpin B9	SPB9_HUMAN	12	106,15556414030732	2,061555641403073	TLR10_Light	WT_Light	NaN	NaN	NaN
