Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5	-1,564526521496253	1,564526521496253	0,008562269316865039	0,035072141886813485	12	O60462;O60462-2;O60462-3;O60462-4;O60462-5	NRP2	Neuropilin-2;Isoform A0 of Neuropilin-2;Isoform A17 of Neuropilin-2;Isoform B0 of Neuropilin-2;Isoform B5 of Neuropilin-2	NRP2_HUMAN	5	-66,19113525373173	0,3380886474626828	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P11216	P11216	0,6085212162385156	0,6085212162385156	0,008866637918532013	0,03566005812191618	12	P11216	PYGB	Glycogen phosphorylase, brain form	PYGB_HUMAN	12	52,46955722027842	1,5246955722027842	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P52803	P52803	0,7228748897263024	0,7228748897263024	0,008855542413625184	0,03566005812191618	10	P52803	EFNA5	Ephrin-A5	EFNA5_HUMAN	3	65,04676825365232	1,6504676825365232	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14008;Q14008-2;Q14008-3	Q14008;Q14008-2;Q14008-3	-1,516330499696715	1,516330499696715	0,008854674448675997	0,03566005812191618	12	Q14008;Q14008-2;Q14008-3	CKAP5	Cytoskeleton-associated protein 5;Isoform 2 of Cytoskeleton-associated protein 5;Isoform 3 of Cytoskeleton-associated protein 5	CKAP5_HUMAN	4	-65,04260706090656	0,34957392939093435	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96AT1	Q96AT1	-1,2317327909326314	1,2317327909326314	0,008851449403945848	0,03566005812191618	11	Q96AT1	KIAA1143	Uncharacterized protein KIAA1143	K1143_HUMAN	3	-57,419428773351356	0,42580571226648645	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q99816;Q99816-2	Q99816;Q99816-2	-1,2439154493687155	1,2439154493687155	0,008995138959210381	0,0358811947648432	12	Q99816;Q99816-2	TSG101	Tumor susceptibility gene 101 protein;Isoform 2 of Tumor susceptibility gene 101 protein	TS101_HUMAN	3	-57,77748120704524	0,42222518792954755	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P51665	P51665	-0,5814544597294563	0,5814544597294563	0,009121594939239678	0,03611197283475814	12	P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7	PSMD7_HUMAN	4	-33,17103017118805	0,6682896982881195	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P55209;P55209-2	P55209;P55209-2	-1,813594750265425	1,813594750265425	0,009372412943669575	0,036613725331344694	12	P55209;P55209-2	NAP1L1	Nucleosome assembly protein 1-like 1;Isoform 2 of Nucleosome assembly protein 1-like 1	NP1L1_HUMAN	6	-71,55187941345739	0,28448120586542613	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P84103;P84103-2	P84103;P84103-2	-0,7492301854096924	0,7492301854096924	0,009414063173433695	0,03671108242398977	12	P84103;P84103-2	SRSF3	Serine/arginine-rich splicing factor 3;Isoform 2 of Serine/arginine-rich splicing factor 3	SRSF3_HUMAN	2	-40,50790804608305	0,5949209195391695	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q03405	Q03405	-0,9912216339601774	0,9912216339601774	0,009469022898811224	0,03681093135773469	12	Q03405	PLAUR	Urokinase plasminogen activator surface receptor	UPAR_HUMAN	10	-49,694837547056636	0,5030516245294336	TLR10_Light	WT_Light	NaN	NaN	NaN
