Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q9UJC5	Q9UJC5	-1,9881516445437772	1,9881516445437772	0,0015551936191551589	0,009756573422412857	12	Q9UJC5	SH3BGRL2	SH3 domain-binding glutamic acid-rich-like protein 2	SH3L2_HUMAN	2	-74,79383823665748	0,2520616176334253	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05783	P05783	2,915993761815847	2,915993761815847	0,0016090271771458673	0,009945973635319634	12	P05783	KRT18	Keratin, type I cytoskeletal 18	K1C18_HUMAN	8	654,7473371970245	7,547473371970245	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q16658	Q16658	0,5964750725400394	0,5964750725400394	0,001610266639313722	0,009945973635319634	12	Q16658	FSCN1	Fascin	FSCN1_HUMAN	26	51,20177465208364	1,5120177465208364	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P35754	P35754	-0,5944169581680832	0,5944169581680832	0,0016460669121414926	0,010056103100812001	12	P35754	GLRX	Glutaredoxin-1	GLRX1_HUMAN	7	-33,76879361883669	0,6623120638116331	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y5J7	Q9Y5J7	-0,8702408659907792	0,8702408659907792	0,0016575577616759192	0,010079897165238058	12	Q9Y5J7	TIMM9	Mitochondrial import inner membrane translocase subunit Tim9	TIM9_HUMAN	5	-45,294449096552945	0,5470555090344705	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q16774	Q16774	0,73595021480503	0,73595021480503	0,0016720488074854136	0,010111799488496082	12	Q16774	GUK1	Guanylate kinase	KGUA_HUMAN	7	66,54940671214908	1,6654940671214908	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O60832	O60832	-1,0795842761712744	1,0795842761712744	0,001680594477793441	0,010143933304498741	12	O60832	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	DKC1_HUMAN	5	-52,683485005139154	0,4731651499486085	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y5F1	Q9Y5F1	-0,9354278298065848	0,9354278298065848	0,0017086958470164946	0,010212465847916475	11	Q9Y5F1	PCDHB12	Protocadherin beta-12	PCDBC_HUMAN	3	-47,71126148415446	0,5228873851584553	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P78559;P78559-2	P78559;P78559-2	-0,875414411597483	0,875414411597483	0,0017402161867906794	0,010279644385588293	12	P78559;P78559-2	MAP1A	Microtubule-associated protein 1A;Isoform 2 of Microtubule-associated protein 1A	MAP1A_HUMAN	25	-45,490273438287076	0,5450972656171292	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P25774	P25774	-0,7674491175045679	0,7674491175045679	0,0017605666064014213	0,010343674213375792	12	P25774	CTSS	Cathepsin S	CATS_HUMAN	2	-41,25447417426247	0,5874552582573753	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y6R6	Q9Y6R6	2,289410118833178	2,289410118833178	0,0018436961235670326	0,010629110756333566	12	Q9Y6R6	ZNF780B	Zinc finger protein 780B	Z780B_HUMAN	1	388,8561893939818	4,888561893939818	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q1KMD3	Q1KMD3	-0,7116673468467194	0,7116673468467194	0,0018492737150328268	0,010653948911451988	12	Q1KMD3	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	HNRL2_HUMAN	13	-38,93859659805254	0,6106140340194746	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O14828	O14828	0,6129984028814673	0,6129984028814673	0,0018558624658816482	0,010669938040144216	12	O14828	SCAMP3	Secretory carrier-associated membrane protein 3	SCAM3_HUMAN	2	52,943458473930875	1,5294345847393087	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P16403	P16403	0,8852158274532573	0,8852158274532573	0,0018636988846913954	0,010707658068514423	12	P16403	H1-2	Histone H1.2	H12_HUMAN	9	84,70409184648886	1,8470409184648886	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O60437	O60437	-0,7917647327941013	0,7917647327941013	0,0018701352273679487	0,01072261960281869	12	O60437	PPL	Periplakin	PEPL_HUMAN	33	-42,236291735147105	0,577637082648529	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14195	Q14195	-0,8808252312473629	0,8808252312473629	0,0018800869150146378	0,010724267936093735	12	Q14195	DPYSL3	Dihydropyrimidinase-related protein 3	DPYL3_HUMAN	12	-45,69432896792591	0,5430567103207409	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z7M9	Q7Z7M9	0,9112709035769613	0,9112709035769613	0,00192392272559955	0,01087502179035867	12	Q7Z7M9	GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	GALT5_HUMAN	7	88,0701522567922	1,880701522567922	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9HBL0	Q9HBL0	-0,6994783395401826	0,6994783395401826	0,0019700059927060948	0,011053629881534065	12	Q9HBL0	TNS1	Tensin-1	TENS1_HUMAN	28	-38,42051698799619	0,6157948301200381	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z6Z7;Q7Z6Z7-2;Q7Z6Z7-3	Q7Z6Z7;Q7Z6Z7-2;Q7Z6Z7-3	-0,9661288833365539	0,9661288833365539	0,0019754104982127115	0,011076550248495323	12	Q7Z6Z7;Q7Z6Z7-2;Q7Z6Z7-3	HUWE1	E3 ubiquitin-protein ligase HUWE1;Isoform 2 of E3 ubiquitin-protein ligase HUWE1;Isoform 3 of E3 ubiquitin-protein ligase HUWE1	HUWE1_HUMAN	5	-48,81222804866181	0,5118777195133819	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H4M9	Q9H4M9	0,7124437555238678	0,7124437555238678	0,0019846216946503505	0,011111909184085935	12	Q9H4M9	EHD1	EH domain-containing protein 1	EHD1_HUMAN	13	63,857732475674325	1,6385773247567432	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O43432;O43432-3	O43432;O43432-3	-0,7218842840171181	0,7218842840171181	0,002034969513238922	0,01126007521036751	12	O43432;O43432-3	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3;Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3	IF4G3_HUMAN	10	-39,369496177918684	0,6063050382208132	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04179	P04179	-1,3637316412998552	1,3637316412998552	0,002086063853028117	0,011452204043373455	12	P04179	SOD2	Superoxide dismutase [Mn], mitochondrial	SODM_HUMAN	11	-61,142409251863384	0,3885759074813661	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q13642-1;Q13642-4;Q13642-5	Q13642-1;Q13642-4;Q13642-5	1,6731707719916749	1,6731707719916749	0,002090335937850013	0,011460666141288704	12	Q13642-1;Q13642-4;Q13642-5	FHL1	Isoform 1 of Four and a half LIM domains protein 1;Isoform 4 of Four and a half LIM domains protein 1;Isoform 5 of Four and a half LIM domains protein 1	FHL1_HUMAN	14	218,91473835936765	3,1891473835936766	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P20333;P20333-2	P20333;P20333-2	-0,6722855144718602	0,6722855144718602	0,002143635823999735	0,011621849720273032	12	P20333;P20333-2	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B;Isoform 2 of Tumor necrosis factor receptor superfamily member 1B	TNR1B_HUMAN	2	-37,248820346093645	0,6275117965390635	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P23919	P23919	0,6167183352014939	0,6167183352014939	0,002156461286025615	0,011633405642385797	12	P23919	DTYMK	Thymidylate kinase	KTHY_HUMAN	9	53,338326011979944	1,5333832601197994	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P15531;P15531-2	P15531;P15531-2	-0,6627210204293553	0,6627210204293553	0,0022160362898200263	0,011758816035610905	12	P15531;P15531-2	NME1	Nucleoside diphosphate kinase A;Isoform 2 of Nucleoside diphosphate kinase A	NDKA_HUMAN	2	-36,8314229343968	0,631685770656032	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O95182	O95182	-1,0120813646168139	1,0120813646168139	0,0022338610204004476	0,011788968730823213	12	O95182	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	NDUA7_HUMAN	3	-50,41695990911719	0,4958304009088281	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62736;P63267	P62736;P63267	1,1896629985504417	1,1896629985504417	0,0022503199013089547	0,011805740782242105	12	P62736;P63267	ACTA2;ACTG2	Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle	ACTA_HUMAN;ACTH_HUMAN	7	128,0994548324084	2,280994548324084	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15942	Q15942	0,6017883928735797	0,6017883928735797	0,002281833077145261	0,01188824204481146	12	Q15942	ZYX	Zyxin	ZYX_HUMAN	21	51,7596643338631	1,517596643338631	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9NYJ1;Q9NYJ1-2	Q9NYJ1;Q9NYJ1-2	-0,7656366352845599	0,7656366352845599	0,0023387916944746707	0,01197792402893251	12	Q9NYJ1;Q9NYJ1-2	COA4	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial;Isoform 2 of Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	COA4_HUMAN	2	-41,18062479558283	0,5881937520441717	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q04837	Q04837	-0,7530014418442329	0,7530014418442329	0,002359300737535099	0,012022938961195724	12	Q04837	SSBP1	Single-stranded DNA-binding protein, mitochondrial	SSBP_HUMAN	8	-40,66321941899063	0,5933678058100937	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q5R3I4	Q5R3I4	-0,9184611200267165	0,9184611200267165	0,0024264416515433294	0,012188839750481573	12	Q5R3I4	TTC38	Tetratricopeptide repeat protein 38	TTC38_HUMAN	8	-47,092693406442656	0,5290730659355735	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96CV9;Q96CV9-2;Q96CV9-3	Q96CV9;Q96CV9-2;Q96CV9-3	0,8496674450295507	0,8496674450295507	0,002456975596191528	0,012246943678403614	12	Q96CV9;Q96CV9-2;Q96CV9-3	OPTN	Optineurin;Isoform 2 of Optineurin;Isoform 3 of Optineurin	OPTN_HUMAN	12	80,20854794462178	1,8020854794462178	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z5R6	Q7Z5R6	-0,6886492082592154	0,6886492082592154	0,0025356990504754985	0,01252038695864196	12	Q7Z5R6	APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	AB1IP_HUMAN	12	-37,95655106455107	0,6204344893544893	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P10145	P10145	2,9272983863512367	2,9272983863512367	0,002573619671090019	0,012611187109824647	10	P10145	CXCL8	Interleukin-8	IL8_HUMAN	1	660,684593806833	7,60684593806833	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UGI8;Q9UGI8-2	Q9UGI8;Q9UGI8-2	1,0354355372475936	1,0354355372475936	0,0026915017377839587	0,012889766819551049	12	Q9UGI8;Q9UGI8-2	TES	Testin;Isoform 2 of Testin	TES_HUMAN	11	104,97323492700099	2,04973234927001	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P51884	P51884	-0,8244408965343943	0,8244408965343943	0,002723484065337553	0,01291537107378232	12	P51884	LUM	Lumican	LUM_HUMAN	14	-43,52989952102031	0,5647010047897969	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P98095-2	P98095-2	1,726474766542182	1,726474766542182	0,0027266834371995055	0,01291537107378232	12	P98095-2	FBLN2	Isoform 2 of Fibulin-2	FBLN2_HUMAN	22	230,9182290541643	3,309182290541643	TLR10_Light	WT_Light	NaN	NaN	NaN
