Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q96FN4	Q96FN4	-0,8924795622268533	0,8924795622268533	0,006846760817506551	0,04464996627909485	12	Q96FN4	CPNE2	Copine-2	CPNE2_HUMAN	7	-46,13125208420337	0,5386874791579663	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P61925	P61925	-1,0164823830344032	1,0164823830344032	0,006876739133836604	0,04477844779950789	12	P61925	PKIA	cAMP-dependent protein kinase inhibitor alpha	IPKA_HUMAN	2	-50,56798515357794	0,49432014846422057	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O43741	O43741	-0,7726674199263291	0,7726674199263291	0,006916577085813662	0,04489250033056415	12	O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	AAKB2_HUMAN	12	-41,46657595030635	0,5853342404969365	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y4Z0	Q9Y4Z0	-0,7726556400667954	0,7726556400667954	0,006984262839799409	0,04518853706250043	12	Q9Y4Z0	LSM4	U6 snRNA-associated Sm-like protein LSm4	LSM4_HUMAN	4	-41,46609801262111	0,5853390198737889	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O14548	O14548	-0,7855057656484501	0,7855057656484501	0,007270913767463656	0,046217060427077516	12	O14548	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7R_HUMAN	4	-41,98514611547962	0,5801485388452038	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8IUX4	Q8IUX4	-0,8049815138932467	0,8049815138932467	0,007366535195952369	0,04653337889038409	12	Q8IUX4	APOBEC3F	DNA dC->dU-editing enzyme APOBEC-3F	ABC3F_HUMAN	6	-42,763058563905275	0,5723694143609472	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NRG7	Q9NRG7	-1,0359084426945169	1,0359084426945169	0,00736627562296076	0,04653337889038409	12	Q9NRG7	SDR39U1	Epimerase family protein SDR39U1	D39U1_HUMAN	4	-51,22913189143463	0,48770868108565363	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q6UVY6	Q6UVY6	1,0897569798747464	1,0897569798747464	0,007570066716595172	0,047334024762297436	10	Q6UVY6	MOXD1	DBH-like monooxygenase protein 1	MOXD1_HUMAN	6	112,8381811528227	2,128381811528227	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q03154	Q03154	-0,6363095055096025	0,6363095055096025	0,007748413750465605	0,04792935690671723	12	Q03154	ACY1	Aminoacylase-1	ACY1_HUMAN	15	-35,6643412291521	0,643356587708479	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O00481;O00481-4	O00481;O00481-4	-0,7509584928361793	0,7509584928361793	0,0077938741013820236	0,04804346662786108	12	O00481;O00481-4	BTN3A1	Butyrophilin subfamily 3 member A1;Isoform 4 of Butyrophilin subfamily 3 member A1	BT3A1_HUMAN	3	-40,579135199383195	0,594208648006168	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P78563;P78563-3;P78563-5	P78563;P78563-3;P78563-5	-0,9456626516655451	0,9456626516655451	0,007809852847815577	0,04806515839295915	12	P78563;P78563-3;P78563-5	ADARB1	Double-stranded RNA-specific editase 1;Isoform 3 of Double-stranded RNA-specific editase 1;Isoform 5 of Double-stranded RNA-specific editase 1	RED1_HUMAN	9	-48,080897542137336	0,5191910245786266	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8IZ52	Q8IZ52	0,6624851822246203	0,6624851822246203	0,007867313103281407	0,04816408968441846	12	Q8IZ52	CHPF	Chondroitin sulfate synthase 2	CHSS2_HUMAN	11	58,280681506492684	1,5828068150649268	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q93062;Q93062-2;Q93062-3;Q93062-4;Q93062-5	Q93062;Q93062-2;Q93062-3;Q93062-4;Q93062-5	0,7656377117498562	0,7656377117498562	0,007865597752909941	0,04816408968441846	12	Q93062;Q93062-2;Q93062-3;Q93062-4;Q93062-5	RBPMS	RNA-binding protein with multiple splicing;Isoform B of RNA-binding protein with multiple splicing;Isoform C of RNA-binding protein with multiple splicing;Isoform D of RNA-binding protein with multiple splicing;Isoform E of RNA-binding protein with multiple splicing	RBPMS_HUMAN	3	70,01213336146866	1,7001213336146865	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8IVF4	Q8IVF4	-0,8097906917458033	0,8097906917458033	0,008031951491223108	0,0486951542646104	10	Q8IVF4	DNAH10	Dynein axonemal heavy chain 10	DYH10_HUMAN	3	-42,95353842491579	0,5704646157508421	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O00479	O00479	-0,8527026968608318	0,8527026968608318	0,008055402999860153	0,048773753384424155	12	O00479	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	HMGN4_HUMAN	4	-44,62536063195505	0,5537463936804495	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q12882	Q12882	-0,6440685326898304	0,6440685326898304	0,008240606696849447	0,04932289869103295	12	Q12882	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]	DPYD_HUMAN	31	-36,00941913995216	0,6399058086004784	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P21953	P21953	-0,7407645905867559	0,7407645905867559	0,008382281843521569	0,049749461184342314	12	P21953	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	ODBB_HUMAN	10	-40,15778797961933	0,5984221202038067	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8NEM2	Q8NEM2	0,8604534643594601	0,8604534643594601	0,008444285143312849	0,049864360380539964	12	Q8NEM2	SHCBP1	SHC SH2 domain-binding protein 1	SHCBP_HUMAN	2	81,56088986834185	1,8156088986834185	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P24385	P24385	0,6222682800956301	0,6222682800956301	0,008481040621459221	0,049893862737945514	12	P24385	CCND1	G1/S-specific cyclin-D1	CCND1_HUMAN	4	53,929343684867746	1,5392934368486775	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96GA3	Q96GA3	-0,8132183248007283	0,8132183248007283	0,008508505408377609	0,04996549087974488	8	Q96GA3	LTV1	Protein LTV1 homolog	LTV1_HUMAN	2	-43,0889116223931	0,569110883776069	TLR10_WO	WT_WO	NaN	NaN	NaN
