Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q02318	Q02318	-1,0138915166995885	1,0138915166995885	0,00013044522732945916	0,002599862471708038	12	Q02318	CYP27A1	Sterol 26-hydroxylase, mitochondrial	CP27A_HUMAN	8	-50,47913282699863	0,49520867173001365	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15124	Q15124	-1,8330059924871183	1,8330059924871183	0,00013314800932884478	0,0026157343103095873	12	Q15124	PGM5	Phosphoglucomutase-like protein 5	PGM5_HUMAN	6	-71,93208103343068	0,28067918966569316	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96LZ7	Q96LZ7	-0,6747825120744274	0,6747825120744274	0,00013168397898726106	0,0026157343103095873	12	Q96LZ7	RMDN2	Regulator of microtubule dynamics protein 2	RMD2_HUMAN	14	-37,3573353273001	0,626426646726999	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O14613	O14613	0,5807862855432676	0,5807862855432676	0,0001396102254709994	0,0026684153850679523	12	O14613	CDC42EP2	Cdc42 effector protein 2	BORG1_HUMAN	2	49,56641808803983	1,4956641808803983	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P31323	P31323	0,834178499595329	0,834178499595329	0,00015116708536181298	0,0027856916616344654	12	P31323	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit	KAP3_HUMAN	17	78,28415628794178	1,7828415628794179	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15113	Q15113	-0,764816861445354	0,764816861445354	0,00015420503105892906	0,0028084755145466145	12	Q15113	PCOLCE	Procollagen C-endopeptidase enhancer 1	PCOC1_HUMAN	14	-41,14719272176542	0,5885280727823458	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04264	P04264	-1,4801186775740849	1,4801186775740849	0,0001551862363395497	0,002815510748202067	12	P04264	KRT1	Keratin, type II cytoskeletal 1	K2C1_HUMAN	34	-64,1540676440591	0,358459323559409	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q68CZ2	Q68CZ2	-0,6513049449463592	0,6513049449463592	0,00016143594149495508	0,0028695040067463476	12	Q68CZ2	TNS3	Tensin-3	TENS3_HUMAN	24	-36,32958578169897	0,6367041421830103	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O43915	O43915	-1,3529849554676232	1,3529849554676232	0,000175707887656972	0,0030034278470585343	12	O43915	VEGFD	Vascular endothelial growth factor D	VEGFD_HUMAN	6	-60,85187694973033	0,39148123050269673	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P14555	P14555	-1,2417573203307948	1,2417573203307948	0,00017708265375318677	0,003014652082355989	12	P14555	PLA2G2A	Phospholipase A2, membrane associated	PA2GA_HUMAN	3	-57,71427323186319	0,4228572676813681	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O43674;O43674-2	O43674;O43674-2	-0,5989277332545557	0,5989277332545557	0,00017736023353905284	0,0030154324227439663	12	O43674;O43674-2	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial;Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	NDUB5_HUMAN	2	-33,97555076898675	0,6602444923101325	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P02511	P02511	0,5853994582203629	0,5853994582203629	0,00018421688066925043	0,0030837401120249867	12	P02511	CRYAB	Alpha-crystallin B chain	CRYAB_HUMAN	19	50,04543825951853	1,5004543825951853	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96PE1;Q96PE1-2	Q96PE1;Q96PE1-2	-1,076675799559322	1,076675799559322	0,00018749824749972162	0,0030988721345008934	12	Q96PE1;Q96PE1-2	ADGRA2	Adhesion G protein-coupled receptor A2;Isoform 2 of Adhesion G protein-coupled receptor A2	AGRA2_HUMAN	6	-52,58799858099823	0,47412001419001765	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P55083;P55083-2	P55083;P55083-2	-0,9784320368638592	0,9784320368638592	0,00019672749749383712	0,0031551545457520116	12	P55083;P55083-2	MFAP4	Microfibril-associated glycoprotein 4;Isoform 2 of Microfibril-associated glycoprotein 4	MFAP4_HUMAN	2	-49,246896017597976	0,5075310398240203	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96LD4	Q96LD4	-1,1488342233984632	1,1488342233984632	0,0002147335437506627	0,0032840212078954047	12	Q96LD4	TRIM47	E3 ubiquitin-protein ligase TRIM47	TRI47_HUMAN	10	-54,901049167134566	0,4509895083286543	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O95562	O95562	-1,0883142113407496	1,0883142113407496	0,00023363566740369358	0,0034260937813005684	12	O95562	SFT2D2	Vesicle transport protein SFT2B	SFT2B_HUMAN	2	-52,96893885592473	0,47031061144075265	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P27658	P27658	0,5838030251792243	0,5838030251792243	0,00023243042194147248	0,0034260937813005684	12	P27658	COL8A1	Collagen alpha-1(VIII) chain	CO8A1_HUMAN	7	49,87949535008607	1,4987949535008607	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O60507	O60507	-0,6416664954351288	0,6416664954351288	0,00023605656056026604	0,003446884146433399	12	O60507	TPST1	Protein-tyrosine sulfotransferase 1	TPST1_HUMAN	1	-35,902788296351986	0,6409721170364802	TLR10_Light	WT_Light	NaN	NaN	NaN
