Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q9BU40	Q9BU40	0,75251481054076	0,75251481054076	0,002310873084721022	0,011949779930033816	12	Q9BU40	CHRDL1	Chordin-like protein 1	CRDL1_HUMAN	27	68,47269770574901	1,6847269770574902	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P52758	P52758	-1,1381612832740644	1,1381612832740644	0,0023289613889581843	0,011953552897885272	12	P52758	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	RIDA_HUMAN	3	-54,56617364736411	0,4543382635263588	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P55287;P55287-2	P55287;P55287-2	0,6756403994901597	0,6756403994901597	0,0023436170233442797	0,01198800810112851	12	P55287;P55287-2	CDH11	Cadherin-11;Isoform 2 of Cadherin-11	CAD11_HUMAN	11	59,730564513208996	1,59730564513209	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P51970	P51970	-1,890731752983053	1,890731752983053	0,002350277260738901	0,011996217871055774	12	P51970	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUA8_HUMAN	4	-73,03297556914485	0,26967024430855147	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9H299	Q9H299	0,8052074428423798	0,8052074428423798	0,0023472702235899177	0,011996217871055774	12	Q9H299	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	SH3L3_HUMAN	4	74,73970292306986	1,7473970292306986	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09668	P09668	-0,8712620727041162	0,8712620727041162	0,0023536379845397327	0,012002695772920121	10	P09668	CTSH	Pro-cathepsin H	CATH_HUMAN	1	-45,33315853046512	0,5466684146953488	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UHL4	Q9UHL4	-0,7965296206557263	0,7965296206557263	0,0023604721715571307	0,012022938961195724	12	Q9UHL4	DPP7	Dipeptidyl peptidase 2	DPP2_HUMAN	11	-42,4267571914706	0,575732428085294	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UMS0;Q9UMS0-3	Q9UMS0;Q9UMS0-3	-0,9644440029544782	0,9644440029544782	0,002366726368735432	0,012034509584913766	12	Q9UMS0;Q9UMS0-3	NFU1	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial;Isoform 3 of NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	NFU1_HUMAN	3	-48,75241245938947	0,5124758754061053	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96F85	Q96F85	-0,9701213255053789	0,9701213255053789	0,002384030614308959	0,012091572795473958	12	Q96F85	CNRIP1	CB1 cannabinoid receptor-interacting protein 1	CNRP1_HUMAN	4	-48,95368670796428	0,5104631329203572	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P46926	P46926	-0,635769519448674	0,635769519448674	0,002411077188364576	0,012149412245259969	12	P46926	GNPDA1	Glucosamine-6-phosphate isomerase 1	GNPI1_HUMAN	7	-35,64025654024376	0,6435974345975624	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P36222	P36222	-1,506965151477174	1,506965151477174	0,00242427349157275	0,012185240531893213	12	P36222	CHI3L1	Chitinase-3-like protein 1	CH3L1_HUMAN	16	-64,8149407265572	0,35185059273442804	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9ULA0;Q9ULA0-2	Q9ULA0;Q9ULA0-2	-1,5120345434617548	1,5120345434617548	0,0024382067495862417	0,012214525238818013	12	Q9ULA0;Q9ULA0-2	DNPEP	Aspartyl aminopeptidase;Isoform 2 of Aspartyl aminopeptidase	DNPEP_HUMAN	6	-64,93835824953153	0,3506164175046847	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P39687	P39687	-1,252158652106806	1,252158652106806	0,002455944303300135	0,012246943678403614	12	P39687	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	AN32A_HUMAN	6	-58,01804233149128	0,4198195766850871	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y5E2	Q9Y5E2	-2,0973665834975153	2,0973665834975153	0,002526502389994534	0,012489670825450012	5	Q9Y5E2	PCDHB7	Protocadherin beta-7	PCDB7_HUMAN	3	-76,63155864556805	0,23368441354431954	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P55083;P55083-2	P55083;P55083-2	-0,8372937546333404	0,8372937546333404	0,0025534853039708393	0,012558966976764962	12	P55083;P55083-2	MFAP4	Microfibril-associated glycoprotein 4;Isoform 2 of Microfibril-associated glycoprotein 4	MFAP4_HUMAN	6	-44,030752916793325	0,5596924708320667	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05787;P05787-2	P05787;P05787-2	1,3428677344481659	1,3428677344481659	0,0025822699101843943	0,01262340739551317	12	P05787;P05787-2	KRT8	Keratin, type II cytoskeletal 8;Isoform 2 of Keratin, type II cytoskeletal 8	K2C8_HUMAN	6	153,65502383481743	2,536550238348174	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P27469	P27469	1,1760474282509135	1,1760474282509135	0,0025899105362574776	0,01262340739551317	12	P27469	G0S2	G0/G1 switch protein 2	G0S2_HUMAN	1	125,95687106946976	2,2595687106946976	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P54760;P54760-2	P54760;P54760-2	0,7526323642460981	0,7526323642460981	0,0025794266823276767	0,01262340739551317	12	P54760;P54760-2	EPHB4	Ephrin type-B receptor 4;Isoform 2 of Ephrin type-B receptor 4	EPHB4_HUMAN	8	68,48642576066236	1,6848642576066235	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q01469	Q01469	-0,8049054712537975	0,8049054712537975	0,002594159847183729	0,01262340739551317	12	Q01469	FABP5	Fatty acid-binding protein 5	FABP5_HUMAN	11	-42,76004159726612	0,5723995840273388	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q63ZY3;Q63ZY3-2;Q63ZY3-3	Q63ZY3;Q63ZY3-2;Q63ZY3-3	-0,8202984769466245	0,8202984769466245	0,0026248625443105245	0,012686184225161136	12	Q63ZY3;Q63ZY3-2;Q63ZY3-3	KANK2	KN motif and ankyrin repeat domain-containing protein 2;Isoform 2 of KN motif and ankyrin repeat domain-containing protein 2;Isoform 3 of KN motif and ankyrin repeat domain-containing protein 2	KANK2_HUMAN	11	-43,36752355280805	0,5663247644719195	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P78347;P78347-2;P78347-3;P78347-4;P78347-5	P78347;P78347-2;P78347-3;P78347-4;P78347-5	-1,3868969292302948	1,3868969292302948	0,0026322744785113586	0,012704937456379009	11	P78347;P78347-2;P78347-3;P78347-4;P78347-5	GTF2I	General transcription factor II-I;Isoform 2 of General transcription factor II-I;Isoform 3 of General transcription factor II-I;Isoform 4 of General transcription factor II-I;Isoform 5 of General transcription factor II-I	GTF2I_HUMAN	2	-61,76136125928762	0,3823863874071239	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P08651;P08651-2;P08651-3;P08651-4;P08651-5;P08651-6	P08651;P08651-2;P08651-3;P08651-4;P08651-5;P08651-6	-1,0452895453943312	1,0452895453943312	0,0026600356269231937	0,012802946704353951	10	P08651;P08651-2;P08651-3;P08651-4;P08651-5;P08651-6	NFIC	Nuclear factor 1 C-type;Isoform 1 of Nuclear factor 1 C-type;Isoform 2 of Nuclear factor 1 C-type;Isoform 3 of Nuclear factor 1 C-type;Isoform 5 of Nuclear factor 1 C-type;Isoform 6 of Nuclear factor 1 C-type	NFIC_HUMAN	2	-51,545234882973666	0,48454765117026327	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O43915	O43915	-1,0644328739691644	1,0644328739691644	0,0026912214514731147	0,012889766819551049	12	O43915	VEGFD	Vascular endothelial growth factor D	VEGFD_HUMAN	17	-52,18394123509961	0,47816058764900393	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P34741	P34741	1,3019437390058015	1,3019437390058015	0,0027147298009529332	0,012910731982548964	12	P34741	SDC2	Syndecan-2	SDC2_HUMAN	3	146,56084973495774	2,4656084973495775	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P84157-2	P84157-2	0,6216693860408048	0,6216693860408048	0,002872123588084096	0,01325844762174143	12	P84157-2	MXRA7	Isoform 2 of Matrix-remodeling-associated protein 7	MXRA7_HUMAN	3	53,86545753128613	1,5386545753128613	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P13987;P13987-2	P13987;P13987-2	0,6784802353886212	0,6784802353886212	0,0029050294486165805	0,013326972010485182	12	P13987;P13987-2	CD59	CD59 glycoprotein;Isoform 2 of CD59 glycoprotein	CD59_HUMAN	5	60,0452916859437	1,600452916859437	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13751	Q13751	-1,4894889207813171	1,4894889207813171	0,0029262470490420806	0,013363937828976729	12	Q13751	LAMB3	Laminin subunit beta-3	LAMB3_HUMAN	1	-64,3861310203129	0,356138689796871	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P07602-3	P07602-3	-8,753496013599921	8,753496013599921	0,002991235473720331	0,013544628811918452	8	P07602-3	PSAP	Isoform Sap-mu-9 of Prosaposin	SAP_HUMAN	1	-99,76829514544897	0,0023170485455103157	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P51888	P51888	2,4648249557684436	2,4648249557684436	0,0030125805551491245	0,013599865868854508	12	P51888	PRELP	Prolargin	PRELP_HUMAN	7	452,0599550791308	5,520599550791308	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UNS2;Q9UNS2-2	Q9UNS2;Q9UNS2-2	-0,6342716316962488	0,6342716316962488	0,003059239943004252	0,013695605376841436	12	Q9UNS2;Q9UNS2-2	COPS3	COP9 signalosome complex subunit 3;Isoform 2 of COP9 signalosome complex subunit 3	CSN3_HUMAN	3	-35,57339990599596	0,6442660009400404	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q16401;Q16401-2	Q16401;Q16401-2	-1,3463856064465556	1,3463856064465556	0,0030684976362504914	0,013707147340139492	11	Q16401;Q16401-2	PSMD5	26S proteasome non-ATPase regulatory subunit 5;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 5	PSMD5_HUMAN	5	-60,6723907001268	0,39327609299873206	TLR10_WO	WT_WO	NaN	NaN	NaN
