"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
-18.343707506547,-13.7832161764854,-6.1186640354326,5.60935731320361e-06,3.89091951386067,"GPT",1,-7.02789024978275,1.15217599170612e-06,0.000132722213976021,3.62006873535589e-05
2.00668701776923,-0.578731705609914,7.6133263559158,2.4988941912767e-07,7.01655582993545,"ZNF780B",1,7.00204055808539,1.21248520392317e-06,1.00466712504037e-05,3.75513447000151e-05
-1.14990662997797,4.82446524250148,-7.17044036956507,6.09017277797228e-07,6.12167017155782,"FABP5",11,-6.9422242971638,1.36489693774241e-06,2.00864883849081e-05,4.16762463659905e-05
0.8345322974097,0.134293515624301,6.13006525677704,5.47176468587929e-06,3.91585385985961,"DTYMK",9,6.92598465108243,1.4096042472315e-06,0.000130889364670022,4.2443558583674e-05
1.06071530067869,1.75003873700758,6.99367548047654,8.75479368177555e-07,5.75698073615783,"GYG1",8,6.88628647515849,1.52538409496489e-06,2.76194588308946e-05,4.53005463209476e-05
1.05992558651538,-1.45063342294488,5.31613553898219,3.34731325090522e-05,2.10023627586986,"TES",11,6.84288192367585,1.66328924841354e-06,0.000531879452366391,4.87285116358847e-05
22.4137141876963,-15.8965731283923,5.82082599568858,1.07920998197198e-05,3.23422720953844,"TUBB2B",1,6.75349128869763,1.98942892771182e-06,0.00022373554918582,5.67494846917858e-05
1.42761524489857,2.0841692749469,6.95402181640156,9.50285819010683e-07,5.67458703208923,"ACTA2",7,6.73996171951126,2.04427122238544e-06,2.95511610091888e-05,5.75565661515497e-05
1.16050461775704,6.32024670593477,6.84921169885036,1.18144108741003e-06,5.45578855682855,"SERPING1",17,6.70110580007329,2.21062811788039e-06,3.52295868483286e-05,6.14424002365328e-05
1.39596697471401,-0.0725468930780235,6.86929730735385,1.13303105238051e-06,5.49783297823816,"CRIP2",3,6.54169495548707,3.05373851291821e-06,3.42552905768499e-05,8.38015093964599e-05
1.10020311180742,1.30768745768117,6.60990463719502,1.95294381745915e-06,4.95073311395304,"EPDR1",7,6.52210344420402,3.17817974761392e-06,5.66822166916787e-05,8.61262533189787e-05
1.59548325290633,2.90057101056282,6.6263777864811,1.88607439673199e-06,4.98574121092384,"H1-5",8,6.41310733145975,3.97273740444726e-06,5.54811481105479e-05,0.00010632904824607
-1.22031114102114,1.5748760538348,-6.4481383776595,2.75483040687352e-06,4.60508804738967,"BGN",11,-6.39341927298736,4.13683257730396e-06,7.2249544820582e-05,0.000109370747020524
-1.30534717263175,2.70229085688187,-6.54466507325809,2.242671016212e-06,4.81174198985908,"SOD2",11,-6.38704829682812,4.19141731423598e-06,6.34005732944236e-05,0.000109478766786361
0.883948545976301,4.39473308093108,6.49325805459114,2.50192307849842e-06,4.70183336195207,"IGFBP5",14,6.33902103888526,4.62755647598939e-06,6.8077297340918e-05,0.000118026597671395
