"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
0.741746295435584,-0.380514027286966,4.51142596688626,0.000201917281495393,0.74145417309941,"GNAI2",7,4.99503062459772,7.57669117575689e-05,0.014989435441674,0.00730318674904111
-1.00820478323144,1.15981724806452,-4.80395990553873,0.000101502469333757,1.39526006428325,"NPM1",8,-4.78900711441881,0.00012090165558699,0.0114269298337721,0.0101336809747249
1.17919953695008,2.18355684496555,4.8016655613089,0.000102049635148401,1.39014793801871,"VCAM1",18,4.74766228478426,0.000132839895984027,0.0114269298337721,0.0106703852819767
1.00501745539036,1.33620380805475,4.68146726083033,0.000135306771615528,1.12193983673387,"CSPG4",35,4.72081278579778,0.000141225874648758,0.0114269298337721,0.0108902307081668
-1.00061740676574,0.35718529796911,-4.68125983598965,0.00013537274769758,1.12147638353322,"RPS13",6,-4.69889812369196,0.000148466758494444,0.0114269298337721,0.0110082604068959
-11.2820757045357,-7.07360644637164,-4.70707103469893,0.000127407260577022,1.17913174796969,"RBFOX2",2,-4.67270700206639,0.000157615714663098,0.0114269298337721,0.0112537837923269
-1.32853716957962,-2.05294778036426,-4.25215761740924,0.000372468876374034,0.160069538869704,"ILF2",4,-4.47578773476903,0.000247411533525027,0.0195440433560685,0.0164469267860613
-1.04097846841848,-1.34120083830515,-4.50480028466115,0.000205096627553645,0.726609605161689,"EIF4EBP1",2,-4.40175081087204,0.000293267772452068,0.014989435441674,0.0177182101665829
11.1881760198159,-7.41392883458729,4.35710687579053,0.000290646228696982,0.395483472240479,"RABEP1",1,4.32764834030695,0.000347752703195084,0.0186156909168317,0.0203151199334743
-1.03155528926731,1.16799475780149,-4.2615080584115,0.000364325185440408,0.181043049156055,"DDB1",32,-4.27389881362775,0.000393550962604572,0.0195440433560685,0.0217831766128098
0.895643092962896,5.45807218983216,4.33643451396416,0.000305194689131005,0.349114451174428,"PTX3",16,4.25975675919817,0.000406578246069802,0.0186156909168317,0.0217831766128098
10.5234005421111,-5.8704849160233,4.30851471601541,0.000326010752312574,0.286486185195142,"PCBD1",1,4.23400211577178,0.000431426317724504,0.0186156909168317,0.0217831766128098
-1.32978855550046,-0.624147526257717,-4.32151475041379,0.000316146798455612,0.315647467034319,"RPS27A",3,-4.20957807957725,0.000456398798271422,0.0186156909168317,0.0217831766128098
-0.625567330735608,3.87156856442443,-4.3288646361053,0.000310703058900009,0.332134325117822,"H1-2",8,-4.19872690371159,0.000467954493685735,0.0186156909168317,0.0217831766128098
